timestamp,meid,cell_id,format,DRB_PdcpSduDelayDl,TB_TotNbrDlInitial_Qpsk,TB_TotNbrDlInitial_64Qam,RRU_PrbUsedDl,DRB_MeanActiveUeDl,TB_TotNbrDlInitial_16Qam1774359701942,gnb:131-133-31000000,N/A,F1,11.419973,,,,,,TB_TotNbrDlInitial_16Qam1776239436333,gnb:131-133-31000000,N/A,F1,16.028969,,,,,,,,,,,,,,,,TB_TotNbrDlInitial_16Qam
1776239436333,gnb:131-133-31000000,1111,F1,,45,7547,30,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1776239444342,gnb:131-133-31000000,N/A,F1,28.467355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1776239444343,gnb:131-133-31000000,1111,F1,,,12233,117,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1776239451401,gnb:131-133-31000000,N/A,F1,22.727441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1776239451402,gnb:131-133-31000000,1111,F1,,12,10496,115,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1776239458563,gnb:131-133-31000000,N/A,F1,24.772872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1776239458563,gnb:131-133-31000000,1111,F1,,,10632,113,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1776239465142,gnb:131-133-31000000,N/A,F1,17.987713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1776239465142,gnb:131-133-31000000,1111,F1,,11,9147,113,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1776239472023,gnb:131-133-31000000,N/A,F1,20.187296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1776239472023,gnb:131-133-31000000,1111,F1,,16,9660,116,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1776239479448,gnb:131-133-31000000,N/A,F1,24.134732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1776239479448,gnb:131-133-31000000,1111,F1,,9,9822,115,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1776239487446,gnb:131-133-31000000,N/A,F1,28.650406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1776239487446,gnb:131-133-31000000,1111,F1,,3,10908,116,6,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
1776239494576,gnb:131-133-31000000,N/A,F1,21.018611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1776239494576,gnb:131-133-31000000,1111,F1,,6,9163,117,6,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,
1776239502981,gnb:131-133-31000000,N/A,F1,30.988364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1776239502994,gnb:131-133-31000000,1111,F1,,9,12038,115,6,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,
1776239511345,gnb:131-133-31000000,N/A,F1,31.140717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1776239511347,gnb:131-133-31000000,1111,F1,,,11936,114,6,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,
1776239518751,gnb:131-133-31000000,N/A,F1,24.802553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1776239518751,gnb:131-133-31000000,1111,F1,,6,9048,113,6,,,,,,,,,,,71,,,,,,,,,,,,,,,,,,,,
1776239526288,gnb:131-133-31000000,N/A,F1,30.15949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1776239526289,gnb:131-133-31000000,1111,F1,,18,9029,114,6,,,,,,,,,,,1247,,,,,,,,,,,,,,,,,,,,
1776239534851,gnb:131-133-31000000,N/A,F1,34.733353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1776239534851,gnb:131-133-31000000,1111,F1,,4,11538,116,6,,,,,,,,,,,609,,,,,,,,,,,,,,,,,,,,
1776239543337,gnb:131-133-31000000,N/A,F1,35.823606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1776239543373,gnb:131-133-31000000,1111,F1,,47,10406,116,6,,,,,,,,,,,1743,,,,,,,,,,,,,,,,,,,,
1776239551898,gnb:131-133-31000000,N/A,F1,41.519677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1776239551899,gnb:131-133-31000000,1111,F1,,555,10400,117,6,,,,,,,,,,,1792,,,,,,,,,,,,,,,,,,,,
1776239560045,gnb:131-133-31000000,N/A,F1,45.464963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1776239560046,gnb:131-133-31000000,1111,F1,,1365,10273,117,6,,,,,,,,,,,535,,,,,,,,,,,,,,,,,,,,
1776239567518,gnb:131-133-31000000,N/A,F1,42.65736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1776239567519,gnb:131-133-31000000,1111,F1,,2303,7792,116,6,,,,,,,,,,,102,,,,,,,,,,,,,,,,,,,,
1776239575363,gnb:131-133-31000000,N/A,F1,68.254359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1776239575363,gnb:131-133-31000000,1111,F1,,2242,8733,114,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1776239580659,gnb:131-133-31000000,N/A,F1,104.571528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1776239580659,gnb:131-133-31000000,1111,F1,,450,4440,77,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1776239588455,gnb:131-133-31000000,N/A,F1,133.426469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1776239588456,gnb:131-133-31000000,1111,F1,,1362,8598,114,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1776239596508,gnb:131-133-31000000,N/A,F1,58.717307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1776239596509,gnb:131-133-31000000,1111,F1,,2407,8403,116,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1776239605593,gnb:131-133-31000000,N/A,F1,75.060317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1776239605593,gnb:131-133-31000000,1111,F1,,2403,10219,116,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1776239614849,gnb:131-133-31000000,N/A,F1,105.346886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1776239614849,gnb:131-133-31000000,1111,F1,,2010,10398,115,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1776239624413,gnb:131-133-31000000,N/A,F1,95.994973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1776239624413,gnb:131-133-31000000,1111,F1,,2161,10757,114,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1776239633185,gnb:131-133-31000000,N/A,F1,78.974283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1776239633185,gnb:131-133-31000000,1111,F1,,1739,9543,117,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1776239641591,gnb:131-133-31000000,N/A,F1,59.267005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1776239641591,gnb:131-133-31000000,1111,F1,,1572,8971,117,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1776239650327,gnb:131-133-31000000,N/A,F1,67.066204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1776239650328,gnb:131-133-31000000,1111,F1,,608,10233,116,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1776239658881,gnb:131-133-31000000,N/A,F1,59.786416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1776239658882,gnb:131-133-31000000,1111,F1,,1465,9197,116,6,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,
1776239667792,gnb:131-133-31000000,N/A,F1,58.166255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1776239667793,gnb:131-133-31000000,1111,F1,,2400,9154,116,6,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,
1776239676078,gnb:131-133-31000000,N/A,F1,94.789451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
