% time	cellId	IMSI	frame	sframe	RNTI	mcsTb1	sizeTb1	mcsTb2	sizeTb2	ccId
0.112	0	0	12	3	2	28	9422	0	0	0
0.113	0	0	12	4	3	28	9422	0	0	0
0.114	0	0	12	5	4	28	9422	0	0	0
0.115	0	0	12	6	1	28	9422	0	0	0
0.116	0	0	12	7	5	28	9422	0	0	0
0.117	0	0	12	8	6	28	9422	0	0	0
0.118	0	0	12	9	7	28	9422	0	0	0
0.119	0	0	12	10	8	28	9422	0	0	0
0.12	0	0	13	1	9	28	9422	0	0	0
0.121	0	0	13	2	10	28	9422	0	0	0
0.122	0	0	13	3	11	28	9422	0	0	0
0.123	0	0	13	4	12	28	9422	0	0	0
0.124	0	0	13	5	13	28	9422	0	0	0
0.125	0	0	13	6	14	28	9422	0	0	0
0.126	0	0	13	7	2	28	9422	0	0	0
0.127	0	0	13	8	3	28	9422	0	0	0
0.128	0	0	13	9	4	28	9422	0	0	0
0.129	0	0	13	10	1	28	9422	0	0	0
0.13	0	0	14	1	5	28	9422	0	0	0
0.131	0	0	14	2	6	28	9422	0	0	0
0.132	0	0	14	3	7	28	9422	0	0	0
0.133	0	0	14	4	8	28	9422	0	0	0
0.134	0	0	14	5	9	28	9422	0	0	0
0.135	0	0	14	6	10	28	9422	0	0	0
0.136	0	0	14	7	11	28	9422	0	0	0
0.137	0	0	14	8	12	28	9422	0	0	0
0.138	0	0	14	9	13	28	9422	0	0	0
0.139	0	0	14	10	14	28	9422	0	0	0
0.14	0	0	15	1	2	28	9422	0	0	0
0.141	0	0	15	2	3	28	9422	0	0	0
0.142	0	0	15	3	4	28	9422	0	0	0
0.143	0	0	15	4	1	28	9422	0	0	0
0.144	0	0	15	5	5	28	9422	0	0	0
0.145	0	0	15	6	6	28	9422	0	0	0
0.146	0	0	15	7	7	28	9422	0	0	0
0.147	0	0	15	8	8	28	9422	0	0	0
0.148	0	0	15	9	9	28	9422	0	0	0
0.149	0	0	15	10	10	28	9422	0	0	0
0.15	0	0	16	1	11	28	9422	0	0	0
0.151	0	0	16	2	12	28	9422	0	0	0
0.152	0	0	16	3	13	28	9422	0	0	0
0.153	0	0	16	4	14	28	9422	0	0	0
0.154	0	0	16	5	2	28	9422	0	0	0
0.155	0	0	16	6	3	28	9422	0	0	0
0.156	0	0	16	7	4	28	9422	0	0	0
0.157	0	0	16	8	1	28	9422	0	0	0
0.158	0	0	16	9	5	28	9422	0	0	0
0.159	0	0	16	10	6	28	9422	0	0	0
0.16	0	0	17	1	7	28	9422	0	0	0
0.161	0	0	17	2	8	28	9422	0	0	0
0.162	0	0	17	3	9	28	9422	0	0	0
0.163	0	0	17	4	10	28	9422	0	0	0
0.164	0	0	17	5	11	28	9422	0	0	0
0.165	0	0	17	6	12	28	9422	0	0	0
0.166	0	0	17	7	13	28	9422	0	0	0
0.167	0	0	17	8	14	28	9422	0	0	0
0.168	0	0	17	9	2	28	9422	0	0	0
0.169	0	0	17	10	3	28	9422	0	0	0
0.17	0	0	18	1	4	28	9422	0	0	0
0.171	0	0	18	2	1	28	9422	0	0	0
0.172	0	0	18	3	5	28	9422	0	0	0
0.173	0	0	18	4	6	28	9422	0	0	0
0.174	0	0	18	5	7	28	9422	0	0	0
0.175	0	0	18	6	8	28	9422	0	0	0
0.176	0	0	18	7	9	28	9422	0	0	0
0.177	0	0	18	8	10	28	9422	0	0	0
0.178	0	0	18	9	11	28	9422	0	0	0
0.179	0	0	18	10	12	28	9422	0	0	0
0.18	0	0	19	1	13	28	9422	0	0	0
0.181	0	0	19	2	14	28	9422	0	0	0
0.182	0	0	19	3	2	28	9422	0	0	0
0.183	0	0	19	4	3	28	9422	0	0	0
0.184	0	0	19	5	4	28	9422	0	0	0
0.185	0	0	19	6	1	28	9422	0	0	0
0.186	0	0	19	7	5	28	9422	0	0	0
0.187	0	0	19	8	6	28	9422	0	0	0
0.188	0	0	19	9	7	28	9422	0	0	0
0.189	0	0	19	10	8	28	9422	0	0	0
0.19	0	0	20	1	9	28	9422	0	0	0
0.191	0	0	20	2	10	28	9422	0	0	0
0.192	0	0	20	3	11	28	9422	0	0	0
0.193	0	0	20	4	12	28	9422	0	0	0
0.194	0	0	20	5	13	28	9422	0	0	0
0.195	0	0	20	6	14	28	9422	0	0	0
0.196	0	0	20	7	2	28	9422	0	0	0
0.197	0	0	20	8	3	28	9422	0	0	0
0.198	0	0	20	9	4	28	9422	0	0	0
0.199	0	0	20	10	1	28	9422	0	0	0
0.2	0	0	21	1	5	28	9422	0	0	0
0.201	0	0	21	2	6	28	9422	0	0	0
0.202	0	0	21	3	7	28	9422	0	0	0
0.203	0	0	21	4	8	28	9422	0	0	0
0.204	0	0	21	5	9	28	9422	0	0	0
