DL/UL	time	frame	subF	slot	1stSym	symbol#	cellId	rnti	ccId	tbSize	mcs	rv	SINR(dB)	corrupt	TBler
DL	0.112875	11	2	3	1	6	4	1	0	52	0	0	7.38153	0	0
DL	0.112875	11	2	3	1	6	5	4	0	52	0	0	13.9271	0	0
DL	0.112982	11	2	3	1	12	7	4	0	107	0	0	-9.21359	1	1
DL	0.112982	11	2	3	7	6	4	3	0	52	0	0	-5.32354	1	1
DL	0.112982	11	2	3	7	6	5	6	0	52	0	0	7.60041	0	0
DL	0.113125	11	3	0	1	6	4	1	0	52	0	0	7.37188	0	0
DL	0.113125	11	3	0	1	6	5	4	0	52	0	0	13.8393	0	0
DL	0.113232	11	3	0	1	12	7	4	0	107	0	0	-9.2622	1	1
DL	0.113232	11	3	0	7	6	4	3	0	52	0	0	-5.24425	1	1
DL	0.113232	11	3	0	7	6	5	6	0	52	0	0	7.68007	0	0
DL	0.113339	11	3	1	1	4	5	4	0	33	0	0	13.7927	0	0
DL	0.113375	11	3	1	1	6	4	1	0	52	0	0	7.39516	0	0
DL	0.113411	11	3	1	5	4	5	5	0	33	0	0	-12.9972	1	1
DL	0.113482	11	3	1	1	12	7	4	0	107	0	0	-9.37756	1	1
DL	0.113482	11	3	1	7	6	4	3	0	52	0	0	-5.04684	1	1
DL	0.113482	11	3	1	9	4	5	6	0	33	0	0	8.24093	0	0
DL	0.113589	11	3	2	1	4	5	4	0	292	13	0	16.399	0	0
DL	0.113661	11	3	2	5	4	5	5	0	33	0	0	-12.3419	1	1
DL	0.113732	11	3	2	1	12	4	1	0	403	6	0	7.39982	0	0
DL	0.113732	11	3	2	9	4	5	6	0	132	6	0	8.04942	0	0
DL	0.113804	11	3	3	1	2	5	4	0	144	13	0	13.7121	0	0.026
DL	0.113839	11	3	3	3	2	5	5	0	15	0	0	-12.4352	1	1
DL	0.113875	11	3	3	1	6	4	3	0	52	0	1	-14.7406	1	1
DL	0.113875	11	3	3	5	2	5	6	0	64	6	0	8.12224	0	0
DL	0.113911	11	3	3	7	2	5	3	0	15	0	0	-0.968902	1	0.927158
UL	0.113946	11	3	3	9	2	5	4	0	15	0	0	15.3746 	0	0
DL	0.113982	11	3	3	1	12	3	1	0	107	0	0	19.1974	0	0
DL	0.113982	11	3	3	1	12	7	4	0	107	0	1	-5.63975	1	1
DL	0.113982	11	3	3	7	6	4	3	0	52	0	2	-14.7295	1	1
UL	0.113982	11	3	3	11	2	5	6	0	15	0	0	6.16459 	0	0
DL	0.114071	11	4	0	1	3	5	4	0	218	13	0	13.949	0	0.0128
DL	0.114107	11	4	0	4	2	5	6	0	64	6	0	8.17079	0	0
