% time	cellId	IMSI	frame	sframe	RNTI	mcs	size	ccId
0.12	0	0	13	1	2	0	349	0
0.121	0	0	13	2	3	0	349	0
0.122	0	0	13	3	4	0	349	0
0.123	0	0	13	4	1	0	349	0
0.124	0	0	13	5	5	0	349	0
0.125	0	0	13	6	6	0	349	0
0.126	0	0	13	7	7	0	349	0
0.127	0	0	13	8	8	0	349	0
0.128	0	0	13	9	9	0	349	0
0.129	0	0	13	10	10	0	349	0
0.13	0	0	14	1	11	0	349	0
0.131	0	0	14	2	12	0	349	0
0.132	0	0	14	3	13	0	349	0
0.133	0	0	14	4	14	0	349	0
0.148	0	0	15	9	2	0	349	0
0.149	0	0	15	10	3	0	349	0
0.15	0	0	16	1	4	0	349	0
0.151	0	0	16	2	1	0	349	0
0.152	0	0	16	3	5	0	349	0
0.153	0	0	16	4	6	0	349	0
0.154	0	0	16	5	7	0	349	0
0.155	0	0	16	6	8	0	349	0
0.156	0	0	16	7	9	0	349	0
0.157	0	0	16	8	10	0	349	0
0.158	0	0	16	9	11	0	349	0
0.159	0	0	16	10	12	0	349	0
0.16	0	0	17	1	13	0	349	0
0.161	0	0	17	2	14	0	349	0
0.176	0	0	18	7	2	0	349	0
0.177	0	0	18	8	3	0	349	0
0.178	0	0	18	9	4	0	349	0
0.179	0	0	18	10	1	0	349	0
0.18	0	0	19	1	5	0	349	0
0.181	0	0	19	2	6	0	349	0
0.182	0	0	19	3	7	0	349	0
0.183	0	0	19	4	8	0	349	0
0.184	0	0	19	5	9	0	349	0
0.185	0	0	19	6	10	0	349	0
0.186	0	0	19	7	11	0	349	0
0.187	0	0	19	8	12	0	349	0
0.188	0	0	19	9	13	0	349	0
0.189	0	0	19	10	14	0	349	0
0.204	0	0	21	5	2	0	349	0
