% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	correct	ccId
126	1	0	2	0	0	349	0	1	1	0
127	1	0	3	0	0	349	0	1	1	0
128	1	0	4	0	0	349	0	1	1	0
129	1	0	1	0	0	349	0	1	1	0
130	1	0	5	0	0	349	0	1	1	0
131	1	0	6	0	0	349	0	1	1	0
132	1	0	7	0	0	349	0	1	1	0
133	1	0	8	0	0	349	0	1	1	0
134	1	0	9	0	0	349	0	1	1	0
135	1	0	10	0	0	349	0	1	1	0
136	1	0	11	0	0	349	0	1	1	0
137	1	0	12	0	0	349	0	1	1	0
138	1	0	13	0	0	349	0	1	1	0
139	1	0	14	0	0	349	0	1	1	0
154	1	0	2	0	0	349	0	1	1	0
155	1	0	3	0	0	349	0	1	1	0
156	1	0	4	0	0	349	0	1	1	0
157	1	0	1	0	0	349	0	1	1	0
158	1	0	5	0	0	349	0	1	1	0
159	1	0	6	0	0	349	0	1	1	0
160	1	0	7	0	0	349	0	1	1	0
161	1	0	8	0	0	349	0	1	1	0
162	1	0	9	0	0	349	0	1	1	0
163	1	0	10	0	0	349	0	1	1	0
164	1	0	11	0	0	349	0	1	1	0
165	1	0	12	0	0	349	0	1	1	0
166	1	0	13	0	0	349	0	1	1	0
167	1	0	14	0	0	349	0	1	1	0
182	1	0	2	0	0	349	0	1	1	0
183	1	0	3	0	0	349	0	1	1	0
184	1	0	4	0	0	349	0	1	1	0
185	1	0	1	0	0	349	0	1	1	0
186	1	0	5	0	0	349	0	1	1	0
187	1	0	6	0	0	349	0	1	1	0
188	1	0	7	0	0	349	0	1	1	0
189	1	0	8	0	0	349	0	1	1	0
190	1	0	9	0	0	349	0	1	1	0
191	1	0	10	0	0	349	0	1	1	0
192	1	0	11	0	0	349	0	1	1	0
193	1	0	12	0	0	349	0	1	1	0
194	1	0	13	0	0	349	0	1	1	0
195	1	0	14	0	0	349	0	1	1	0
