% time	cellId	IMSI	RNTI	sinrLinear	componentCarrierId
0.321	1	0	1	150.813	0
0.322	1	0	2	2016.55	0
0.323	1	0	3	355.971	0
0.324	1	0	4	365.878	0
0.325	1	0	5	170.08	0
0.326	1	0	6	196.915	0
0.327	1	0	7	151.743	0
0.328	1	0	8	626.258	0
0.329	1	0	9	375.749	0
0.33	1	0	10	152.308	0
0.331	1	0	11	232.738	0
0.332	1	0	12	485.166	0
0.333	1	0	13	293.582	0
0.334	1	0	14	156.246	0
0.641	1	0	1	150.562	0
0.642	1	0	2	2003.43	0
0.643	1	0	3	354.975	0
0.644	1	0	4	366.148	0
0.645	1	0	5	169.829	0
0.646	1	0	6	196.482	0
0.647	1	0	7	151.732	0
0.648	1	0	8	628.349	0
0.649	1	0	9	376.315	0
0.65	1	0	10	151.978	0
0.651	1	0	11	232.074	0
0.652	1	0	12	483.87	0
0.653	1	0	13	293.358	0
0.654	1	0	14	156.532	0
