DL/UL	time	frame	subF	slot	1stSym	symbol#	cellId	rnti	ccId	tbSize	mcs	rv	SINR(dB)	corrupt	TBler
DL	0.112875	11	2	3	1	6	7	2	0	52	0	0	1.62079	0	0.0014
DL	0.112875	11	2	3	1	6	8	4	0	52	0	0	-6.18576	1	1
DL	0.112982	11	2	3	1	12	6	3	0	107	0	0	2.69372	0	0
DL	0.112982	11	2	3	7	6	7	4	0	52	0	0	2.30025	0	0
DL	0.112982	11	2	3	7	6	8	5	0	52	0	0	-4.13729	1	1
DL	0.113125	11	3	0	1	6	7	2	0	52	0	0	1.56297	0	0.0014
DL	0.113125	11	3	0	1	6	8	4	0	52	0	0	-6.16872	1	1
DL	0.113232	11	3	0	1	12	6	3	0	107	0	0	2.62956	0	0
DL	0.113232	11	3	0	7	6	7	4	0	52	0	0	2.39351	0	0
DL	0.113232	11	3	0	7	6	8	5	0	52	0	0	-4.23574	1	1
DL	0.113375	11	3	1	1	6	6	3	0	52	0	0	2.43828	0	0.0014
DL	0.113375	11	3	1	1	6	7	2	0	52	0	0	1.5114	0	0.0014
DL	0.113375	11	3	1	1	6	8	4	0	52	0	0	-6.17561	1	1
DL	0.113482	11	3	1	7	6	6	4	0	52	0	0	-23.4511	1	1
DL	0.113482	11	3	1	7	6	7	4	0	52	0	0	-9.85273	1	1
DL	0.113482	11	3	1	7	6	8	5	0	52	0	0	-18.6561	1	1
DL	0.113625	11	3	2	1	6	6	3	0	52	0	0	2.51065	0	0.0014
DL	0.113625	11	3	2	1	6	7	2	0	52	0	0	1.52484	0	0.0014
DL	0.113625	11	3	2	1	6	8	4	0	52	0	1	-6.19049	1	1
DL	0.113732	11	3	2	7	6	6	4	0	52	0	0	-23.5215	1	1
DL	0.113732	11	3	2	7	6	7	4	0	84	2	0	-9.66537	1	1
DL	0.113732	11	3	2	7	6	8	4	0	52	0	2	-6.22624	1	1
DL	0.113804	11	3	3	1	2	7	2	0	15	0	0	1.50096	0	0.002
DL	0.113839	11	3	3	3	2	7	3	0	15	0	0	-3.56414	1	1
DL	0.113875	11	3	3	1	6	3	2	0	52	0	0	6.00927	0	0
DL	0.113875	11	3	3	1	6	6	3	0	52	0	0	2.27202	0	0.0014
DL	0.113875	11	3	3	1	6	8	4	0	52	0	1	-10.4281	1	1
DL	0.113875	11	3	3	5	2	7	4	0	26	2	0	2.58238	0	0.0061
DL	0.113911	11	3	3	7	2	7	1	0	15	0	0	-2.87206	1	1
UL	0.113946	11	3	3	9	2	7	2	0	15	0	0	9.50832 	0	0
DL	0.113982	11	3	3	7	6	3	3	0	52	0	0	-18.4014	1	1
DL	0.113982	11	3	3	7	6	6	4	0	52	0	0	-26.3644	1	1
DL	0.113982	11	3	3	7	6	8	4	0	52	0	2	-10.4273	1	1
UL	0.113982	11	3	3	11	2	7	4	0	15	0	0	3.02546 	0	0
DL	0.114071	11	4	0	1	3	7	2	0	24	0	0	1.44399	0	0.0026
DL	0.114107	11	4	0	4	2	7	3	0	15	0	0	-3.56214	1	1
DL	0.114125	11	4	0	1	6	3	2	0	52	0	0	5.97483	0	0
DL	0.114125	11	4	0	1	6	8	4	0	52	0	1	-10.373	1	1
DL	0.114143	11	4	0	1	7	6	3	0	61	0	0	2.1968	0	0.0014
DL	0.114143	11	4	0	6	2	7	1	0	15	0	0	-0.111682	0	0.271552
UL	0.114196	11	4	0	8	3	7	2	0	24	0	0	3.38664 	0	0.0026
DL	0.114232	11	4	0	7	6	3	3	0	52	0	0	-18.49	1	1
DL	0.114232	11	4	0	7	6	8	4	0	52	0	2	-10.0512	1	1
UL	0.114232	11	4	0	8	5	6	3	0	43	0	0	2.52708 	0	0
UL	0.114232	11	4	0	11	2	7	4	0	15	0	0	-4.4233 	1	1
DL	0.114375	11	4	1	1	6	3	2	0	52	0	0	3.43219	0	0
DL	0.114375	11	4	1	1	6	8	5	0	52	0	1	-19.874	1	1
DL	0.114375	11	4	1	1	6	6	4	0	52	0	1	-30.3704	1	1
DL	0.114375	11	4	1	1	6	7	4	0	52	0	1	-10.1296	1	1
DL	0.114482	11	4	1	1	12	2	2	0	107	0	0	16.7427	0	0
DL	0.114482	11	4	1	7	6	3	3	0	52	0	0	-18.6844	1	1
DL	0.114482	11	4	1	7	6	8	5	0	52	0	2	-19.7831	1	1
DL	0.114482	11	4	1	7	6	6	4	0	52	0	2	-30.3435	1	1
DL	0.114482	11	4	1	7	6	7	4	0	52	0	2	-10.229	1	1
DL	0.114625	11	4	2	1	6	8	4	0	52	0	3	-16.5627	1	1
DL	0.114625	11	4	2	1	6	6	4	0	52	0	1	-30.3879	1	1
DL	0.114625	11	4	2	1	6	7	4	0	84	2	1	-10.1348	1	1
DL	0.114732	11	4	2	1	12	2	2	0	107	0	0	16.7274	0	0
DL	0.114732	11	4	2	1	12	3	2	0	274	4	0	3.36609	1	0.992308
DL	0.114732	11	4	2	7	6	8	4	0	52	0	3	-16.6046	1	1
DL	0.114732	11	4	2	7	6	6	4	0	52	0	2	-30.4659	1	1
DL	0.114732	11	4	2	7	6	7	4	0	84	2	2	-10.1694	1	1
DL	0.114804	11	4	3	1	2	7	3	0	15	0	1	-5.54496	1	0.927158
DL	0.114839	11	4	3	3	2	7	3	0	15	0	2	-5.53116	0	0.002
DL	0.114875	11	4	3	1	6	3	3	0	52	0	1	-18.8724	1	1
DL	0.114875	11	4	3	1	6	8	4	0	52	0	3	-16.593	1	1
DL	0.114875	11	4	3	1	6	6	4	0	52	0	1	-30.5482	1	1
DL	0.114875	11	4	3	5	2	7	1	0	15	0	1	1.00812	0	0
DL	0.114911	11	4	3	7	2	7	1	0	15	0	2	-2.77992	1	1
DL	0.114929	11	4	3	9	1	7	4	0	11	2	0	2.53989	0	0.106742
DL	0.114946	11	4	3	10	1	7	2	0	6	0	0	11.9156	0	0
DL	0.114982	11	4	3	1	12	2	2	0	107	0	0	16.857	0	0
DL	0.114982	11	4	3	7	6	3	3	0	52	0	2	-18.8648	1	1
DL	0.114982	11	4	3	7	6	8	2	0	52	0	0	-25.9934	1	1
DL	0.114982	11	4	3	7	6	6	4	0	52	0	2	-30.5138	1	1
UL	0.114982	11	4	3	11	2	7	4	0	15	0	1	2.87171 	0	0
DL	0.115125	11	5	0	1	6	3	3	0	52	0	1	-18.9417	1	1
DL	0.115125	11	5	0	1	6	8	5	0	52	0	3	-19.7365	1	1
DL	0.115125	11	5	0	1	6	6	4	0	52	0	3	-30.6721	1	1
DL	0.115125	11	5	0	1	6	7	4	0	52	0	3	-10.2194	1	1
DL	0.115161	11	5	0	7	2	7	2	0	15	0	0	1.68197	0	0
DL	0.115179	11	5	0	7	3	6	3	0	24	0	0	5.56069	0	0
UL	0.115196	11	5	0	9	2	7	1	0	15	0	0	-0.906276 	1	0.927158
UL	0.115214	11	5	0	11	1	7	2	0	6	0	0	3.6174 	0	0
DL	0.115232	11	5	0	1	12	2	2	0	1105	15	0	16.9384	0	0.00818319
DL	0.115232	11	5	0	7	6	3	3	0	52	0	2	-18.8481	1	1
DL	0.115232	11	5	0	7	6	8	2	0	52	0	0	-25.9593	1	1
UL	0.115232	11	5	0	10	3	6	3	0	40	2	0	3.64914 	0	0
UL	0.115232	11	5	0	12	1	7	4	0	53	11	0	-4.45304 	1	1
DL	0.115375	11	5	1	1	6	3	3	0	52	0	1	-18.8072	1	1
DL	0.115375	11	5	1	1	6	8	2	0	52	0	0	-27.8621	1	1
DL	0.115375	11	5	1	1	6	6	4	0	52	0	3	-30.7699	1	1
DL	0.115375	11	5	1	1	6	7	4	0	84	2	3	-10.1531	1	1
DL	0.115411	11	5	1	7	2	7	2	0	15	0	0	1.437	0	0.002
UL	0.115446	11	5	1	9	2	7	1	0	15	0	0	1.42258 	0	0.002
DL	0.115482	11	5	1	1	12	2	2	0	1105	15	0	17.0317	0	0.00818319
DL	0.115482	11	5	1	7	6	3	3	0	52	0	2	-18.8021	1	1
DL	0.115482	11	5	1	7	6	8	3	0	52	0	0	-33.7264	1	1
DL	0.115482	11	5	1	7	6	6	3	0	52	0	0	7.22132	0	0
UL	0.115482	11	5	1	11	2	7	2	0	15	0	0	9.83484 	0	0
DL	0.115554	11	5	2	1	2	7	3	0	15	0	3	-5.42102	1	1
DL	0.115571	11	5	2	1	3	2	2	0	274	15	0	16.7808	0	0.259536
DL	0.115625	11	5	2	1	6	6	4	0	52	0	3	-28.8215	1	1
DL	0.115625	11	5	2	3	4	7	4	0	55	2	0	2.599	0	0.0104
UL	0.115661	11	5	2	4	5	2	2	0	43	0	0	26.9097 	0	0
DL	0.115679	11	5	2	7	3	7	2	0	218	13	0	8.00119	1	1
DL	0.115732	11	5	2	1	12	3	2	0	274	4	1	5.27716	0	0
DL	0.115732	11	5	2	1	12	8	3	0	107	0	0	-33.988	1	1
DL	0.115732	11	5	2	7	6	6	3	0	52	0	0	6.5187	0	0
UL	0.115732	11	5	2	10	3	7	2	0	24	0	0	9.8763 	0	0
DL	0.115839	11	5	3	1	4	7	4	0	55	2	1	-9.68363	1	1
UL	0.115857	11	5	3	1	5	2	2	0	43	0	0	26.8756 	0	0
DL	0.115875	11	5	3	1	6	3	3	0	52	0	3	-18.8345	1	1
DL	0.115875	11	5	3	1	6	8	2	0	52	0	1	-26.3623	1	1
DL	0.115911	11	5	3	5	4	7	4	0	55	2	2	-9.74568	1	1
DL	0.115929	11	5	3	9	1	7	2	0	6	0	0	12.0218	0	0
UL	0.115964	11	5	3	10	2	7	1	0	15	0	1	1.51571 	0	0
DL	0.115982	11	5	3	1	12	6	3	0	274	4	0	4.66679	0	0.001
DL	0.115982	11	5	3	7	6	3	3	0	52	0	3	-18.8445	1	1
DL	0.115982	11	5	3	7	6	8	2	0	52	0	2	-26.2915	1	1
UL	0.115982	11	5	3	12	1	7	4	0	53	11	1	2.81861 	1	1
UL	0.116107	11	6	0	1	5	2	2	0	43	0	0	26.8502 	0	0
DL	0.116125	11	6	0	1	6	3	3	0	52	0	3	-18.7409	1	1
DL	0.116125	11	6	0	1	6	8	2	0	52	0	1	-26.4452	1	1
DL	0.116143	11	6	0	1	7	7	2	0	61	0	0	1.37443	0	0.0014
DL	0.116161	11	6	0	7	2	3	4	0	15	0	0	7.91821	0	0
DL	0.116196	11	6	0	9	2	3	2	0	26	2	0	13.3348	0	0
DL	0.116232	11	6	0	1	12	6	3	0	403	6	0	5.94339	0	0.117654
DL	0.116232	11	6	0	7	6	8	2	0	52	0	2	-12.6383	1	1
UL	0.116232	11	6	0	8	5	7	3	0	43	0	0	-4.30023 	1	1
UL	0.116232	11	6	0	11	2	3	2	0	15	0	0	15.0036 	0	0
DL	0.116339	11	6	1	1	4	3	2	0	89	4	0	5.36219	0	0.045
DL	0.116375	11	6	1	1	6	8	3	0	52	0	1	-33.6697	1	1
DL	0.116375	11	6	1	1	6	7	2	0	200	6	0	1.52224	1	1
DL	0.116411	11	6	1	5	4	3	4	0	33	0	0	8.76231	0	0
DL	0.116482	11	6	1	1	12	6	3	0	403	6	0	2.2248	1	1
DL	0.116482	11	6	1	7	6	8	3	0	52	0	2	-32.0166	1	1
DL	0.116482	11	6	1	7	6	7	4	0	84	2	0	2.5247	0	0.0062
UL	0.116482	11	6	1	9	4	3	2	0	33	0	0	14.9119 	0	0
DL	0.116571	11	6	2	1	3	7	2	0	218	13	1	1.67503	0	0
DL	0.116625	11	6	2	1	6	3	2	0	135	4	0	5.21295	0	0.0103
DL	0.116625	11	6	2	4	3	7	2	0	218	13	2	1.69925	1	1
DL	0.116714	11	6	2	7	5	7	2	0	366	13	0	1.74675	1	1
DL	0.116732	11	6	2	1	12	6	3	0	274	4	0	3.09451	1	1
DL	0.116732	11	6	2	1	12	8	3	0	107	0	1	-33.681	1	1
DL	0.116732	11	6	2	7	6	3	4	0	52	0	0	9.45574	0	0
UL	0.116732	11	6	2	12	1	7	4	0	53	11	2	2.89309 	1	0.927158
DL	0.116875	11	6	3	1	6	8	2	0	52	0	3	-28.078	1	1
DL	0.116875	11	6	3	1	6	3	2	0	551	15	0	2.9592	1	1
DL	0.116893	11	6	3	1	7	7	2	0	61	0	0	-3.24044	1	1
DL	0.116982	11	6	3	1	12	2	2	0	1105	15	0	17.2207	0	0.00818319
DL	0.116982	11	6	3	1	12	6	3	0	274	4	0	3.92089	1	0.684492
DL	0.116982	11	6	3	7	6	8	2	0	52	0	3	-28.0679	1	1
DL	0.116982	11	6	3	7	6	3	4	0	200	6	0	7.67122	0	0
