timestamp,ueImsiComplete,numActiveUes,RRC.ConnMean,DRB.EstabSucc.5QI.UEID (numDrb),DRB.RelActNbr.5QI.UEID (0),L3 serving Id(m_cellId),UE (imsi),L3 serving SINR,L3 serving SINR 3gpp,L3 neigh Id 1 (cellId),L3 neigh SINR 1,L3 neigh SINR 3gpp 1 (convertedSinr),L3 neigh Id 2 (cellId),L3 neigh SINR 2,L3 neigh SINR 3gpp 2 (convertedSinr),L3 neigh Id 3 (cellId),L3 neigh SINR 3,L3 neigh SINR 3gpp 3 (convertedSinr),L3 neigh Id 4 (cellId),L3 neigh SINR 4,L3 neigh SINR 3gpp 4 (convertedSinr),L3 neigh Id 5 (cellId),L3 neigh SINR 5,L3 neigh SINR 3gpp 5 (convertedSinr),L3 neigh Id 6 (cellId),L3 neigh SINR 6,L3 neigh SINR 3gpp 6 (convertedSinr),L3 neigh Id 7 (cellId),L3 neigh SINR 7,L3 neigh SINR 3gpp 7 (convertedSinr),L3 neigh Id 8 (cellId),L3 neigh SINR 8,L3 neigh SINR 3gpp 8 (convertedSinr)
1760608120359,00003,3,1,0,0,6,3,14.601087,76.000000,3,9.411459,65.000000,2,6.210450,59.000000,4,6.132547,59.000000,5,-1.740021,43.000000,7,-4.803870,37.000000,8,-19.436273,7.000000,,,,,,
1760608120359,00010,3,1,0,0,6,10,23.859848,94.000000,5,15.696583,78.000000,2,4.069440,55.000000,7,0.874370,48.000000,8,-0.068975,46.000000,4,-5.000744,36.000000,3,-15.510707,15.000000,,,,,,
1760608120359,00014,3,1,0,0,6,14,6.649500,60.000000,5,8.162964,63.000000,7,6.746697,60.000000,4,-1.987780,42.000000,2,-2.929865,40.000000,3,-16.739566,13.000000,8,-30.891143,0.000000,,,,,,
1760608120459,00014,2,2,0,0,6,14,6.808473,60.000000,7,6.689244,60.000000,5,6.433618,59.000000,2,-0.802467,45.000000,4,-8.369097,29.000000,3,-14.974832,16.000000,8,-34.351430,0.000000,,,,,,
1760608120459,00013,2,2,0,0,6,13,-18.643318,9.000000,2,8.325504,63.000000,8,6.806117,60.000000,3,3.644672,54.000000,4,-5.597543,35.000000,7,-6.727895,33.000000,5,-12.192530,22.000000,,,,,,
1760608120559,00014,2,2,0,0,6,14,10.093410,67.000000,5,5.290612,57.000000,7,2.903272,52.000000,4,-3.657835,39.000000,2,-4.678052,37.000000,3,-12.705507,21.000000,8,-33.871734,0.000000,,,,,,
1760608120559,00012,2,2,0,0,6,12,-16.636898,13.000000,3,7.705369,62.000000,4,6.009184,58.000000,8,-1.644105,43.000000,2,-5.375886,36.000000,5,-12.312822,22.000000,7,-14.529586,17.000000,,,,,,
1760608120659,00002,2,2,0,0,6,2,-16.593232,13.000000,8,11.369407,69.000000,3,10.508327,68.000000,2,7.161570,61.000000,5,1.024406,48.000000,7,-3.100214,40.000000,4,-17.946590,10.000000,,,,,,
1760608120659,00010,2,2,0,0,6,10,13.990429,75.000000,5,15.651912,78.000000,2,11.510351,70.000000,7,8.639649,64.000000,8,-0.877331,45.000000,4,-6.528508,33.000000,3,-13.842411,18.000000,,,,,,
1760608120759,00007,1,1,0,0,6,7,20.671276,88.000000,5,12.595760,72.000000,7,3.856123,54.000000,4,-0.761267,45.000000,2,-8.822904,29.000000,3,-12.483842,21.000000,8,-23.412838,0.000000,,,,,,
1760608120859,00001,1,1,0,0,6,1,-17.810823,10.000000,3,27.952753,103.000000,2,3.515174,53.000000,4,1.375401,49.000000,8,-7.553554,31.000000,7,-9.408203,27.000000,5,-11.014256,24.000000,,,,,,
