timestamp,ueImsiComplete,plmId,nrCellId,dlAvailablePrbs,ulAvailablePrbs,qci,dlPrbUsage,ulPrbUsage,TB.TotNbrDl.1,TB.TotNbrDlInitial,TB.TotNbrDlInitial.Qpsk,TB.TotNbrDlInitial.16Qam,TB.TotNbrDlInitial.64Qam,RRU.PrbUsedDl,TB.ErrTotalNbrDl.1,QosFlow.PdcpPduVolumeDL_Filter,CARR.PDSCHMCSDist.Bin1,CARR.PDSCHMCSDist.Bin2,CARR.PDSCHMCSDist.Bin3,CARR.PDSCHMCSDist.Bin4,CARR.PDSCHMCSDist.Bin5,CARR.PDSCHMCSDist.Bin6,L1M.RS-SINR.Bin34,L1M.RS-SINR.Bin46,L1M.RS-SINR.Bin58,L1M.RS-SINR.Bin70,L1M.RS-SINR.Bin82,L1M.RS-SINR.Bin94,L1M.RS-SINR.Bin127,DRB.BufferSize.Qos,DRB.MeanActiveUeDl,TB.TotNbrDl.1.UEID,TB.TotNbrDlInitial.UEID,TB.TotNbrDlInitial.Qpsk.UEID,TB.TotNbrDlInitial.16Qam.UEID,TB.TotNbrDlInitial.64Qam.UEID,TB.ErrTotalNbrDl.1.UEID,QosFlow.PdcpPduVolumeDL_Filter.UEID,RRU.PrbUsedDl.UEID,CARR.PDSCHMCSDist.Bin1.UEID,CARR.PDSCHMCSDist.Bin2.UEID,CARR.PDSCHMCSDist.Bin3.UEID,CARR.PDSCHMCSDist.Bin4.UEID,CARR.PDSCHMCSDist.Bin5.UEID,CARR.PDSCHMCSDist.Bin6.UEID,L1M.RS-SINR.Bin34.UEID,L1M.RS-SINR.Bin46.UEID,L1M.RS-SINR.Bin58.UEID,L1M.RS-SINR.Bin70.UEID,L1M.RS-SINR.Bin82.UEID,L1M.RS-SINR.Bin94.UEID,L1M.RS-SINR.Bin127.UEID,DRB.BufferSize.Qos.UEID,DRB.UEThpDl.UEID,DRB.UEThpDlPdcpBased.UEID
1760608120359,00003,111,6,139,139,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000
1760608120359,00010,111,6,139,139,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000
1760608120359,00014,111,6,139,139,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000
1760608120459,00014,111,6,139,139,1,8,0,74,37,74,0,0,12,37,8813,71,3,0,0,0,0,39,12,21,2,0,0,0,228808,2,35,25,35,0,0,10,5300,8.960536,32,3,0,0,0,0,0,12,21,2,0,0,0,119815,10152.142669,4710.000000
1760608120459,00013,111,6,139,139,1,8,0,74,37,74,0,0,12,37,8813,71,3,0,0,0,0,39,12,21,2,0,0,0,228808,2,39,12,39,0,0,27,3513,4.896282,39,0,0,0,0,0,39,0,0,0,0,0,0,108993,22536.388465,4710.000000
1760608120559,00014,111,6,139,139,1,56,0,316,247,143,173,0,78,69,164114,117,26,173,0,0,0,42,3,53,218,0,0,0,275531,2,274,235,101,173,0,39,161270,76.822321,75,26,173,0,0,0,0,3,53,218,0,0,0,95468,7509.358713,10370.000000
1760608120559,00012,111,6,139,139,1,56,0,316,247,143,173,0,78,69,164114,117,26,173,0,0,0,42,3,53,218,0,0,0,275531,2,42,12,42,0,0,30,2844,2.674029,42,0,0,0,0,0,42,0,0,0,0,0,0,180063,4965.692738,5860.000000
1760608120659,00002,111,6,139,139,1,18,0,406,302,202,174,30,26,104,231616,164,38,135,61,8,0,39,0,33,216,114,4,0,621748,2,39,12,39,0,0,27,1561,1.139649,39,0,0,0,0,0,39,0,0,0,0,0,0,397846,6467.327546,5240.000000
1760608120659,00010,111,6,139,139,1,18,0,406,302,202,174,30,26,104,231616,164,38,135,61,8,0,39,0,33,216,114,4,0,621748,2,367,290,163,174,30,77,230055,25.121825,125,38,135,61,8,0,0,0,33,216,114,4,0,223902,8043.649149,12680.000000
1760608120759,00007,111,6,139,139,1,15,0,367,310,67,90,210,21,57,373624,30,37,50,210,40,0,0,0,0,65,197,105,0,190463,1,367,310,67,90,210,57,373624,21.046787,30,37,50,210,40,0,0,0,0,65,197,105,0,190463,8645.416951,10580.000000
1760608120859,00001,111,6,139,139,1,1,0,48,12,48,0,0,2,36,4476,48,0,0,0,0,0,48,0,0,0,0,0,0,643473,1,48,12,48,0,0,36,4476,2.082397,48,0,0,0,0,0,48,0,0,0,0,0,0,643473,24690.089595,5340.000000
