DL/UL	time	frame	subF	slot	1stSym	symbol#	cellId	rnti	ccId	tbSize	mcs	rv	SINR(dB)	corrupt	TBler
DL	0.112875	11	2	3	1	6	5	2	0	52	0	0	2.10507	0	0.0014
DL	0.112875	11	2	3	1	6	6	4	0	52	0	0	-3.85114	1	1
DL	0.112982	11	2	3	1	12	8	3	0	107	0	0	-21.3802	1	1
DL	0.112982	11	2	3	7	6	5	6	0	52	0	0	0.930457	1	0.791149
DL	0.112982	11	2	3	7	6	6	5	0	52	0	0	-9.18219	1	1
DL	0.113125	11	3	0	1	6	5	2	0	52	0	0	2.07614	0	0.0014
DL	0.113125	11	3	0	1	6	6	4	0	52	0	0	-3.84814	1	1
DL	0.113232	11	3	0	1	12	8	3	0	107	0	0	-21.2889	1	1
DL	0.113232	11	3	0	7	6	5	6	0	52	0	0	1.01968	1	0.791149
DL	0.113232	11	3	0	7	6	6	5	0	52	0	0	-9.12234	1	1
DL	0.113375	11	3	1	1	6	8	3	0	52	0	0	-21.3361	1	1
DL	0.113375	11	3	1	1	6	5	2	0	52	0	0	1.91537	0	0.0014
DL	0.113375	11	3	1	1	6	6	4	0	52	0	0	-3.8754	1	1
DL	0.113482	11	3	1	7	6	8	4	0	52	0	0	10.6918	0	0
DL	0.113482	11	3	1	7	6	5	6	0	52	0	0	1.14251	1	0.791149
DL	0.113482	11	3	1	7	6	6	5	0	52	0	0	-9.61522	1	1
DL	0.113625	11	3	2	1	6	6	4	0	52	0	1	-3.85005	1	1
DL	0.113732	11	3	2	1	12	8	4	0	107	0	0	10.6379	0	0
DL	0.113732	11	3	2	1	12	5	2	0	107	0	0	2.00998	0	0
DL	0.113732	11	3	2	7	6	6	4	0	52	0	2	-3.82355	1	0.791149
DL	0.113875	11	3	3	1	6	5	6	0	52	0	1	-2.98925	0	0.0014
DL	0.113875	11	3	3	1	6	6	4	0	52	0	1	-8.45427	1	1
DL	0.113982	11	3	3	1	12	3	3	0	107	0	0	-59.5764	1	1
DL	0.113982	11	3	3	1	12	7	2	0	107	0	0	-18.4368	1	1
DL	0.113982	11	3	3	1	12	8	3	0	107	0	1	-21.4145	1	1
DL	0.113982	11	3	3	7	6	5	6	0	52	0	2	-3.0047	1	1
DL	0.113982	11	3	3	7	6	6	4	0	52	0	2	-8.56039	1	1
DL	0.114125	11	4	0	1	6	5	6	0	52	0	1	-2.96591	0	0.0014
DL	0.114125	11	4	0	1	6	6	4	0	52	0	1	-8.59617	1	1
DL	0.114232	11	4	0	1	12	3	3	0	107	0	0	-59.6424	1	1
DL	0.114232	11	4	0	1	12	7	2	0	107	0	0	-18.3282	1	1
DL	0.114232	11	4	0	1	12	8	3	0	107	0	1	-21.4752	1	1
DL	0.114232	11	4	0	7	6	5	6	0	52	0	2	-2.99137	1	1
DL	0.114232	11	4	0	7	6	6	4	0	52	0	2	-8.46275	1	1
DL	0.114375	11	4	1	1	6	8	2	0	52	0	0	-4.36096	1	1
DL	0.114375	11	4	1	1	6	5	6	0	52	0	1	-2.94671	0	0.0014
DL	0.114375	11	4	1	1	6	6	5	0	52	0	1	-13.7248	1	1
DL	0.114482	11	4	1	1	12	3	3	0	107	0	0	-59.6429	1	1
