timestamp,ueId,nrCellId
1760608034584,1,5
1760608034584,2,7
1760608034584,3,5
1760608034584,4,6
1760608034584,5,3
1760608034584,6,6
1760608034584,7,5
1760608034584,8,6
1760608034584,9,5
1760608034584,10,8
1760608034584,11,8
1760608034584,12,7
1760608034584,13,8
1760608034584,14,5
1760608034684,1,4
1760608034684,2,5
1760608034684,3,6
1760608034684,4,4
1760608034684,6,8
1760608034684,7,7
1760608034684,10,8
1760608034684,11,5
1760608034684,12,8
1760608034684,13,3
1760608034684,14,3
1760608034784,1,7
1760608034784,2,6
1760608034784,3,8
1760608034784,5,6
1760608034784,6,5
1760608034784,7,5
1760608034784,8,5
1760608034784,9,8
1760608034784,11,7
1760608034784,12,4
1760608034784,13,3
1760608034784,14,4
1760608034884,1,6
1760608034884,2,5
1760608034884,3,3
1760608034884,4,5
1760608034884,5,4
1760608034884,6,6
1760608034884,7,7
1760608034884,10,8
1760608034884,11,5
1760608034884,12,7
1760608034884,13,3
1760608034884,14,4
1760608034984,1,8
1760608034984,2,4
1760608034984,4,6
1760608034984,5,3
1760608034984,6,3
1760608034984,8,5
1760608034984,9,7
1760608034984,10,8
1760608034984,12,5
1760608034984,13,4
1760608034984,14,7
1760608035084,1,8
1760608035084,3,4
1760608035084,4,6
1760608035084,5,6
1760608035084,6,5
1760608035084,7,5
1760608035084,9,5
1760608035084,10,5
1760608035084,12,8
1760608035084,13,8
1760608035084,14,5
