timestamp,ueImsiComplete,numActiveUes,RRC.ConnMean,DRB.EstabSucc.5QI.UEID (numDrb),DRB.RelActNbr.5QI.UEID (0),L3 serving Id(m_cellId),UE (imsi),L3 serving SINR,L3 serving SINR 3gpp,L3 neigh Id 1 (cellId),L3 neigh SINR 1,L3 neigh SINR 3gpp 1 (convertedSinr),L3 neigh Id 2 (cellId),L3 neigh SINR 2,L3 neigh SINR 3gpp 2 (convertedSinr),L3 neigh Id 3 (cellId),L3 neigh SINR 3,L3 neigh SINR 3gpp 3 (convertedSinr),L3 neigh Id 4 (cellId),L3 neigh SINR 4,L3 neigh SINR 3gpp 4 (convertedSinr),L3 neigh Id 5 (cellId),L3 neigh SINR 5,L3 neigh SINR 3gpp 5 (convertedSinr),L3 neigh Id 6 (cellId),L3 neigh SINR 6,L3 neigh SINR 3gpp 6 (convertedSinr),L3 neigh Id 7 (cellId),L3 neigh SINR 7,L3 neigh SINR 3gpp 7 (convertedSinr),L3 neigh Id 8 (cellId),L3 neigh SINR 8,L3 neigh SINR 3gpp 8 (convertedSinr)
1760608034584,00009,1,0,0,0,8,9,27.173939,101.000000,2,3.987299,54.000000,7,3.690459,54.000000,3,3.227027,53.000000,4,-5.053246,36.000000,5,-5.902389,34.000000,6,-6.250458,34.000000,,,,,,
1760608034684,00011,3,3,0,0,8,11,0.475032,47.000000,2,3.793119,54.000000,7,2.218258,51.000000,6,-6.182075,34.000000,5,-6.575913,33.000000,3,-10.946246,24.000000,4,-20.167403,6.000000,,,,,,
1760608034684,00010,3,3,0,0,8,10,-1.245457,44.000000,6,19.279371,85.000000,5,14.631177,76.000000,2,4.362069,55.000000,7,-0.023350,46.000000,4,-10.511008,25.000000,3,-18.439628,9.000000,,,,,,
1760608034684,00013,3,3,0,0,8,13,9.315507,65.000000,2,10.230214,67.000000,3,6.085867,59.000000,4,-4.460913,37.000000,7,-8.554756,29.000000,6,-13.803554,19.000000,5,-13.895428,18.000000,,,,,,
1760608034784,00010,3,3,0,0,8,10,3.624247,54.000000,6,24.140393,95.000000,5,14.455252,76.000000,2,9.316477,65.000000,7,6.514149,59.000000,4,-10.127275,26.000000,3,-13.506128,19.000000,,,,,,
1760608034784,00012,3,3,0,0,8,12,-21.145882,4.000000,4,10.536940,68.000000,3,10.087296,67.000000,2,-1.329544,44.000000,5,-9.029643,28.000000,6,-11.725584,23.000000,7,-13.363101,19.000000,,,,,,
1760608034784,00006,3,3,0,0,8,6,8.664447,64.000000,2,26.625526,100.000000,3,6.828441,60.000000,4,3.879097,54.000000,7,1.482782,49.000000,5,-6.860513,33.000000,6,-13.263036,20.000000,,,,,,
1760608034884,00010,3,3,0,0,8,10,3.448468,53.000000,6,14.979024,77.000000,5,13.909808,74.000000,2,4.557280,56.000000,7,-1.720363,43.000000,4,-6.158654,34.000000,3,-16.020619,14.000000,,,,,,
1760608034884,00003,3,3,0,0,8,3,-13.884231,18.000000,6,14.582910,76.000000,4,7.631707,62.000000,3,6.617605,60.000000,2,1.684405,50.000000,5,-2.414099,41.000000,7,-3.129634,40.000000,,,,,,
1760608034884,00009,3,3,0,0,8,9,27.858462,103.000000,3,4.249040,55.000000,2,2.857016,52.000000,7,2.275325,51.000000,5,-5.331528,36.000000,6,-5.963638,34.000000,4,-6.808611,33.000000,,,,,,
1760608034984,00010,2,2,0,0,8,10,2.625426,52.000000,6,15.464544,78.000000,5,7.653533,62.000000,7,0.777081,48.000000,2,-0.520169,45.000000,4,-8.488846,29.000000,3,-22.310549,1.000000,,,,,,
1760608034984,00009,2,2,0,0,8,9,30.407760,108.000000,3,8.379269,63.000000,2,5.440392,57.000000,7,2.916039,52.000000,6,-3.591207,39.000000,4,-6.380443,34.000000,5,-7.142209,32.000000,,,,,,
1760608035084,00010,2,2,0,0,8,10,3.121104,53.000000,6,15.632888,78.000000,5,12.174935,71.000000,2,3.132725,53.000000,7,2.184300,51.000000,4,-8.458982,29.000000,3,-21.370949,3.000000,,,,,,
1760608035084,00001,2,2,0,0,8,1,-13.554444,19.000000,3,17.825762,82.000000,2,5.428678,57.000000,4,2.492492,51.000000,7,-1.513814,43.000000,5,-20.991684,4.000000,6,-23.460786,0.000000,,,,,,
