timestamp,ueImsiComplete,plmId,nrCellId,dlAvailablePrbs,ulAvailablePrbs,qci,dlPrbUsage,ulPrbUsage,TB.TotNbrDl.1,TB.TotNbrDlInitial,TB.TotNbrDlInitial.Qpsk,TB.TotNbrDlInitial.16Qam,TB.TotNbrDlInitial.64Qam,RRU.PrbUsedDl,TB.ErrTotalNbrDl.1,QosFlow.PdcpPduVolumeDL_Filter,CARR.PDSCHMCSDist.Bin1,CARR.PDSCHMCSDist.Bin2,CARR.PDSCHMCSDist.Bin3,CARR.PDSCHMCSDist.Bin4,CARR.PDSCHMCSDist.Bin5,CARR.PDSCHMCSDist.Bin6,L1M.RS-SINR.Bin34,L1M.RS-SINR.Bin46,L1M.RS-SINR.Bin58,L1M.RS-SINR.Bin70,L1M.RS-SINR.Bin82,L1M.RS-SINR.Bin94,L1M.RS-SINR.Bin127,DRB.BufferSize.Qos,DRB.MeanActiveUeDl,TB.TotNbrDl.1.UEID,TB.TotNbrDlInitial.UEID,TB.TotNbrDlInitial.Qpsk.UEID,TB.TotNbrDlInitial.16Qam.UEID,TB.TotNbrDlInitial.64Qam.UEID,TB.ErrTotalNbrDl.1.UEID,QosFlow.PdcpPduVolumeDL_Filter.UEID,RRU.PrbUsedDl.UEID,CARR.PDSCHMCSDist.Bin1.UEID,CARR.PDSCHMCSDist.Bin2.UEID,CARR.PDSCHMCSDist.Bin3.UEID,CARR.PDSCHMCSDist.Bin4.UEID,CARR.PDSCHMCSDist.Bin5.UEID,CARR.PDSCHMCSDist.Bin6.UEID,L1M.RS-SINR.Bin34.UEID,L1M.RS-SINR.Bin46.UEID,L1M.RS-SINR.Bin58.UEID,L1M.RS-SINR.Bin70.UEID,L1M.RS-SINR.Bin82.UEID,L1M.RS-SINR.Bin94.UEID,L1M.RS-SINR.Bin127.UEID,DRB.BufferSize.Qos.UEID,DRB.UEThpDl.UEID,DRB.UEThpDlPdcpBased.UEID
1760608034584,00001,111,3,139,139,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000
1760608034584,00002,111,3,139,139,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000
1760608034684,00005,111,3,139,139,1,3,0,36,9,36,0,0,5,27,3852,36,0,0,0,0,0,36,0,0,0,0,0,0,118301,1,36,9,36,0,0,27,3852,5.341398,36,0,0,0,0,0,36,0,0,0,0,0,0,118301,25125.341708,4500.000000
1760608034784,00005,111,3,139,139,1,13,0,120,33,120,0,0,19,87,11999,120,0,0,0,0,0,104,15,1,0,0,0,0,594797,3,48,12,48,0,0,36,5136,14.297143,48,0,0,0,0,0,48,0,0,0,0,0,0,249401,25125.341708,5240.000000
1760608034784,00013,111,3,139,139,1,13,0,120,33,120,0,0,19,87,11999,120,0,0,0,0,0,104,15,1,0,0,0,0,594797,3,31,9,31,0,0,22,2806,2.376915,31,0,0,0,0,0,15,15,1,0,0,0,0,111953,7629.153365,6180.000000
1760608034784,00014,111,3,139,139,1,13,0,120,33,120,0,0,19,87,11999,120,0,0,0,0,0,104,15,1,0,0,0,0,594797,3,41,12,41,0,0,29,4057,3.763449,41,0,0,0,0,0,41,0,0,0,0,0,0,233443,13008.521098,5240.000000
1760608034884,00013,111,3,139,139,1,6,0,35,14,35,0,0,9,21,5324,28,7,0,0,0,0,18,10,3,4,0,0,0,242239,1,35,14,35,0,0,21,5324,9.109464,28,7,0,0,0,0,18,10,3,4,0,0,0,242239,8640.964351,5240.000000
1760608034984,00013,111,3,139,139,1,7,0,119,71,119,0,0,11,48,15208,119,0,0,0,0,0,16,38,58,7,0,0,0,708716,2,42,20,42,0,0,22,5376,8.861250,42,0,0,0,0,0,10,17,8,7,0,0,0,370160,9104.961786,5340.000000
1760608034984,00003,111,3,139,139,1,7,0,119,71,119,0,0,11,48,15208,119,0,0,0,0,0,16,38,58,7,0,0,0,708716,2,77,51,77,0,0,26,9832,3.846516,77,0,0,0,0,0,6,21,50,0,0,0,0,338556,8598.595389,6490.000000
1760608035084,00003,111,3,139,139,1,12,0,327,220,327,0,0,17,107,62122,249,78,0,0,0,0,71,46,143,67,0,0,0,1516275,3,60,25,60,0,0,35,4134,8.588214,60,0,0,0,0,0,25,22,13,0,0,0,0,455036,8841.530738,5240.000000
1760608035084,00005,111,3,139,139,1,12,0,327,220,327,0,0,17,107,62122,249,78,0,0,0,0,71,46,143,67,0,0,0,1516275,3,42,12,42,0,0,30,1728,0.842875,42,0,0,0,0,0,42,0,0,0,0,0,0,612642,25125.341708,5240.000000
1760608035084,00006,111,3,139,139,1,12,0,327,220,327,0,0,17,107,62122,249,78,0,0,0,0,71,46,143,67,0,0,0,1516275,3,225,183,225,0,0,42,56260,9.808751,147,78,0,0,0,0,4,24,130,67,0,0,0,448597,8125.018296,7750.000000
