DL/UL	time	frame	subF	slot	1stSym	symbol#	cellId	rnti	ccId	tbSize	mcs	rv	SINR(dB)	corrupt	TBler
DL	0.112839	11	2	3	1	4	5	2	0	33	0	0	11.6226	0	0
DL	0.112911	11	2	3	5	4	5	3	0	33	0	0	-13.6085	1	1
DL	0.112982	11	2	3	1	12	3	3	0	107	0	0	-0.60607	1	1
DL	0.112982	11	2	3	1	12	4	6	0	107	0	0	-18.4489	1	1
DL	0.112982	11	2	3	9	4	5	4	0	33	0	0	8.13459	0	0
DL	0.113089	11	3	0	1	4	5	2	0	33	0	0	11.5965	0	0
DL	0.113161	11	3	0	5	4	5	3	0	33	0	0	-13.607	1	1
DL	0.113232	11	3	0	1	12	3	3	0	107	0	0	-0.707486	1	1
DL	0.113232	11	3	0	1	12	4	6	0	107	0	0	-18.2134	1	1
DL	0.113232	11	3	0	9	4	5	4	0	33	0	0	8.22614	0	0
DL	0.113321	11	3	1	1	3	5	2	0	24	0	0	11.6536	0	0
DL	0.113375	11	3	1	4	3	5	3	0	24	0	0	-13.6255	1	1
DL	0.113429	11	3	1	7	3	5	4	0	24	0	0	8.31061	0	0
DL	0.113482	11	3	1	1	12	3	3	0	107	0	0	-0.830215	1	1
DL	0.113482	11	3	1	1	12	4	6	0	107	0	0	-17.8459	1	1
DL	0.113482	11	3	1	10	3	5	5	0	24	0	0	-12.2561	1	1
DL	0.113589	11	3	2	1	4	5	2	0	178	8	0	15.4392	0	0
DL	0.113661	11	3	2	5	4	5	4	0	132	6	0	8.39825	0	0
DL	0.113732	11	3	2	9	4	5	5	0	33	0	0	-12.2551	1	1
DL	0.113839	11	3	3	1	4	5	3	0	33	0	1	-26.9108	1	1
DL	0.113911	11	3	3	5	4	5	3	0	33	0	2	-26.9438	1	1
DL	0.113929	11	3	3	9	1	5	2	0	42	8	0	15.5486	0	0
DL	0.113946	11	3	3	10	1	5	4	0	30	6	0	8.54013	0	0.0006
UL	0.113964	11	3	3	11	1	5	2	0	6	0	0	14.4878 	0	0
DL	0.113982	11	3	3	1	12	7	2	0	107	0	0	-20.7297	1	1
DL	0.113982	11	3	3	1	12	8	2	0	107	0	0	-26.4373	1	1
DL	0.113982	11	3	3	1	12	3	3	0	107	0	1	-0.991083	0	0
DL	0.113982	11	3	3	1	12	4	6	0	107	0	1	-17.0812	1	1
UL	0.113982	11	3	3	12	1	5	4	0	6	0	0	6.61073 	0	0
DL	0.114089	11	4	0	1	4	5	3	0	33	0	1	-26.9605	1	1
DL	0.114161	11	4	0	5	4	5	3	0	33	0	2	-26.9915	1	1
DL	0.114214	11	4	0	9	3	5	3	0	24	0	1	-26.9568	1	1
DL	0.114232	11	4	0	1	12	7	2	0	107	0	0	-20.7438	1	1
DL	0.114232	11	4	0	1	12	8	2	0	107	0	0	-26.5053	1	1
DL	0.114232	11	4	0	1	12	3	3	0	107	0	1	-0.930501	0	0
DL	0.114232	11	4	0	1	12	4	6	0	107	0	1	-19.466	1	1
DL	0.114232	11	4	0	12	1	5	2	0	42	8	0	15.4794	0	0
DL	0.114321	11	4	1	1	3	5	3	0	24	0	2	-26.9276	1	1
DL	0.114375	11	4	1	4	3	5	5	0	24	0	1	-12.0189	1	1
DL	0.114429	11	4	1	7	3	5	5	0	24	0	2	-11.9968	1	1
DL	0.114446	11	4	1	10	1	5	4	0	30	6	0	8.67316	0	0.0006
DL	0.114464	11	4	1	11	1	5	2	0	89	15	0	15.5467	0	0.285795
DL	0.114482	11	4	1	1	12	7	2	0	107	0	0	-20.8302	1	1
DL	0.114482	11	4	1	1	12	8	2	0	107	0	0	-26.619	1	1
DL	0.114482	11	4	1	1	12	3	3	0	107	0	1	-0.763106	0	0
DL	0.114482	11	4	1	1	12	4	6	0	107	0	1	-17.9005	1	1
UL	0.114482	11	4	1	12	1	5	4	0	6	0	0	6.65803 	0	0
DL	0.114589	11	4	2	1	4	5	5	0	33	0	1	-18.464	1	1
DL	0.114625	11	4	2	1	6	3	2	0	52	0	0	11.1135	0	0
DL	0.114625	11	4	2	1	6	4	4	0	52	0	0	-40.5837	1	1
DL	0.114661	11	4	2	5	4	5	5	0	33	0	2	-18.4753	1	1
DL	0.114732	11	4	2	7	6	3	4	0	52	0	0	-8.47298	1	1
DL	0.114732	11	4	2	7	6	4	5	0	52	0	0	-1.3166	1	1
DL	0.114732	11	4	2	9	4	5	3	0	33	0	3	-13.8497	1	1
DL	0.114839	11	4	3	1	4	5	3	0	33	0	3	-27.0809	1	1
DL	0.114875	11	4	3	1	6	3	2	0	52	0	0	4.99168	0	0
DL	0.114875	11	4	3	5	2	5	4	0	64	6	0	8.69659	0	0
DL	0.114911	11	4	3	7	2	5	2	0	181	15	0	15.2726	0	0.0039
UL	0.114946	11	4	3	9	2	5	4	0	64	6	0	6.63803 	0	0
DL	0.114982	11	4	3	1	12	7	2	0	107	0	1	-20.6838	1	1
DL	0.114982	11	4	3	1	12	8	2	0	107	0	1	-26.9443	1	1
DL	0.114982	11	4	3	1	12	4	6	0	107	0	2	-14.8975	1	1
