timestamp,ueImsiComplete,numActiveUes,RRC.ConnMean,DRB.EstabSucc.5QI.UEID (numDrb),DRB.RelActNbr.5QI.UEID (0),L3 serving Id(m_cellId),UE (imsi),L3 serving SINR,L3 serving SINR 3gpp,L3 neigh Id 1 (cellId),L3 neigh SINR 1,L3 neigh SINR 3gpp 1 (convertedSinr),L3 neigh Id 2 (cellId),L3 neigh SINR 2,L3 neigh SINR 3gpp 2 (convertedSinr),L3 neigh Id 3 (cellId),L3 neigh SINR 3,L3 neigh SINR 3gpp 3 (convertedSinr),L3 neigh Id 4 (cellId),L3 neigh SINR 4,L3 neigh SINR 3gpp 4 (convertedSinr),L3 neigh Id 5 (cellId),L3 neigh SINR 5,L3 neigh SINR 3gpp 5 (convertedSinr),L3 neigh Id 6 (cellId),L3 neigh SINR 6,L3 neigh SINR 3gpp 6 (convertedSinr),L3 neigh Id 7 (cellId),L3 neigh SINR 7,L3 neigh SINR 3gpp 7 (convertedSinr),L3 neigh Id 8 (cellId),L3 neigh SINR 8,L3 neigh SINR 3gpp 8 (convertedSinr)
1760608076359,00001,2,1,0,0,3,1,21.880428,90.000000,2,7.436635,61.000000,4,6.760496,60.000000,7,-5.393093,35.000000,8,-6.765530,33.000000,5,-13.041841,20.000000,6,-21.929460,2.000000,,,,,,
1760608076359,00002,2,1,0,0,3,2,11.463155,69.000000,8,9.432759,65.000000,2,5.180980,57.000000,5,-0.098233,46.000000,7,-1.582354,43.000000,4,-9.318679,28.000000,6,-19.961422,6.000000,,,,,,
1760608076459,00002,3,3,0,0,3,2,13.001732,73.000000,8,8.759466,64.000000,2,5.811423,58.000000,5,1.434086,49.000000,7,-7.508479,31.000000,4,-11.303559,24.000000,6,-17.286252,12.000000,,,,,,
1760608076459,00008,3,3,0,0,3,8,6.083672,59.000000,4,10.693251,68.000000,2,10.586231,68.000000,5,-3.674922,39.000000,8,-4.015201,38.000000,6,-9.872953,26.000000,7,-26.260049,0.000000,,,,,,
1760608076459,00011,3,3,0,0,3,11,-11.935283,22.000000,2,1.378726,49.000000,7,0.444280,47.000000,8,-0.406771,46.000000,6,-6.312565,34.000000,5,-6.594048,33.000000,4,-21.882798,2.000000,,,,,,
1760608076559,00013,1,1,0,0,3,13,8.254753,63.000000,8,8.129493,63.000000,2,5.369773,57.000000,4,-5.550383,35.000000,7,-11.692698,23.000000,5,-12.928012,20.000000,6,-13.478606,19.000000,,,,,,
1760608076659,00012,2,2,0,0,3,12,11.080492,69.000000,4,7.600714,62.000000,2,1.885966,50.000000,8,-3.721080,39.000000,5,-3.972722,38.000000,7,-15.552596,15.000000,6,-16.498428,13.000000,,,,,,
1760608076659,00006,2,2,0,0,3,6,1.752746,50.000000,2,30.485666,108.000000,8,5.126888,57.000000,4,2.539834,51.000000,7,-3.631187,39.000000,5,-12.718521,21.000000,6,-19.225494,8.000000,,,,,,
1760608076759,00012,3,3,0,0,3,12,11.895985,70.000000,4,4.193902,55.000000,2,-0.506378,45.000000,5,-4.469161,37.000000,8,-8.218493,30.000000,6,-13.349479,19.000000,7,-15.303212,16.000000,,,,,,
1760608076759,00006,3,3,0,0,3,6,5.772075,58.000000,2,24.580120,96.000000,8,9.385465,65.000000,7,5.319576,57.000000,4,3.264210,53.000000,5,-12.663928,21.000000,6,-16.731378,13.000000,,,,,,
1760608076759,00002,3,3,0,0,3,2,8.896628,64.000000,8,8.580250,64.000000,5,3.219172,53.000000,2,2.300407,51.000000,7,-1.094845,44.000000,4,-10.975999,24.000000,6,-17.566082,11.000000,,,,,,
1760608076859,00012,5,5,0,0,3,12,16.157158,79.000000,4,1.419094,49.000000,2,-1.186971,44.000000,5,-4.379100,38.000000,8,-6.753008,33.000000,6,-9.628448,27.000000,7,-19.702636,7.000000,,,,,,
1760608076859,00002,5,5,0,0,3,2,9.581311,66.000000,8,13.697081,74.000000,5,3.733091,54.000000,7,2.017024,50.000000,2,-0.708646,45.000000,4,-9.082640,28.000000,6,-17.734356,11.000000,,,,,,
1760608076859,00001,5,5,0,0,3,1,29.042240,105.000000,2,13.082051,73.000000,4,5.766510,58.000000,7,-8.277280,30.000000,8,-12.803653,21.000000,5,-14.028704,18.000000,6,-24.168821,0.000000,,,,,,
1760608076859,00007,5,5,0,0,3,7,-19.304355,7.000000,5,10.475828,67.000000,6,7.495692,61.000000,4,4.165191,55.000000,7,-5.367291,36.000000,2,-6.102645,34.000000,8,-26.527024,0.000000,,,,,,
1760608076859,00011,5,5,0,0,3,11,-10.510350,25.000000,8,4.718393,56.000000,2,4.404029,55.000000,6,0.647962,48.000000,7,-1.263691,44.000000,5,-5.311952,36.000000,4,-17.045409,12.000000,,,,,,
