timestamp,ueImsiComplete,DRB.PdcpSduDelayDl(cellAverageLatency),m_pDCPBytesUL(0),m_pDCPBytesDL(cellDlTxVolume),DRB.PdcpSduVolumeDl_Filter.UEID(txBytes),Tot.PdcpSduNbrDl.UEID(txDlPackets),DRB.PdcpSduBitRateDl.UEID(pdcpThroughput),DRB.PdcpSduDelayDl.UEID(pdcpLatency),txPdcpPduLteRlc,txPdcpPduBytesLteRlc,QosFlow.PdcpPduVolumeDL_Filter.UEID(txPdcpPduBytesNrRlc),DRB.PdcpPduNbrDl.Qos.UEID(txPdcpPduNrRlc)
1760608076359,00004,0.000000,0,0,0,0,0.000000,0.000000,0,0,0.000000,0
1760608076359,00006,0.000000,0,0,0,0,0.000000,0.000000,0,0,0.000000,0
1760608076359,00013,0.000000,0,0,0,0,0.000000,0.000000,0,0,0.000000,0
1760608076359,00002,0.000000,0,0,0,0,0.000000,0.000000,0,0,0.000000,0
1760608076359,00012,0.000000,0,0,0,0,0.000000,0.000000,0,0,0.000000,0
1760608076359,00009,0.000000,0,0,0,0,0.000000,0.000000,0,0,0.000000,0
1760608076359,00005,0.000000,0,0,0,0,0.000000,0.000000,0,0,0.000000,0
1760608076359,00003,0.000000,0,0,0,0,0.000000,0.000000,0,0,0.000000,0
1760608076359,00007,0.000000,0,0,0,0,0.000000,0.000000,0,0,0.000000,0
1760608076359,00014,0.000000,0,0,0,0,0.000000,0.000000,0,0,0.000000,0
1760608076359,00010,0.000000,0,0,0,0,0.000000,0.000000,0,0,0.000000,0
1760608076359,00011,0.000000,0,0,0,0,0.000000,0.000000,0,0,0.000000,0
1760608076359,00008,0.000000,0,0,0,0,0.000000,0.000000,0,0,0.000000,0
1760608076359,00001,0.000000,0,0,0,0,0.000000,0.000000,0,0,0.000000,0
1760608076459,00004,270.604594,0,26264,1876,179,18760.000000,210.631416,86,901,975.000000,93
1760608076459,00006,270.604594,0,26264,1876,179,18760.000000,293.045251,87,912,964.000000,92
1760608076459,00013,270.604594,0,26264,1876,179,18760.000000,316.191873,95,996,880.000000,84
1760608076459,00002,270.604594,0,26264,1876,179,18760.000000,162.734394,86,901,975.000000,93
1760608076459,00012,270.604594,0,26264,1876,179,18760.000000,247.064462,95,996,880.000000,84
1760608076459,00009,270.604594,0,26264,1876,179,18760.000000,278.151740,91,954,922.000000,88
1760608076459,00005,270.604594,0,26264,1876,179,18760.000000,252.270521,87,912,964.000000,92
1760608076459,00003,270.604594,0,26264,1876,179,18760.000000,296.342499,91,954,922.000000,88
1760608076459,00007,270.604594,0,26264,1876,179,18760.000000,284.260521,90,943,933.000000,89
1760608076459,00014,270.604594,0,26264,1876,179,18760.000000,197.292459,85,891,985.000000,94
1760608076459,00010,270.604594,0,26264,1876,179,18760.000000,266.751405,90,943,933.000000,89
1760608076459,00011,270.604594,0,26264,1876,179,18760.000000,282.438280,95,996,880.000000,84
1760608076459,00008,270.604594,0,26264,1876,179,18760.000000,381.068794,83,870,1006.000000,96
1760608076459,00001,270.604594,0,26264,1876,179,18760.000000,320.220698,85,891,985.000000,94
1760608076559,00004,719.335776,0,29344,2096,200,20960.000000,675.386774,82,859,1237.000000,118
1760608076559,00006,719.335776,0,29344,2096,200,20960.000000,738.534140,110,1153,943.000000,90
1760608076559,00013,719.335776,0,29344,2096,200,20960.000000,934.128601,112,1174,922.000000,88
1760608076559,00002,719.335776,0,29344,2096,200,20960.000000,566.447241,96,1006,1090.000000,104
1760608076559,00012,719.335776,0,29344,2096,200,20960.000000,753.496791,96,1006,1090.000000,104
1760608076559,00009,719.335776,0,29344,2096,200,20960.000000,693.333113,100,1048,1048.000000,100
1760608076559,00005,719.335776,0,29344,2096,200,20960.000000,445.647220,99,1038,1058.000000,101
