timestamp,ueImsiComplete,plmId,nrCellId,dlAvailablePrbs,ulAvailablePrbs,qci,dlPrbUsage,ulPrbUsage,TB.TotNbrDl.1,TB.TotNbrDlInitial,TB.TotNbrDlInitial.Qpsk,TB.TotNbrDlInitial.16Qam,TB.TotNbrDlInitial.64Qam,RRU.PrbUsedDl,TB.ErrTotalNbrDl.1,QosFlow.PdcpPduVolumeDL_Filter,CARR.PDSCHMCSDist.Bin1,CARR.PDSCHMCSDist.Bin2,CARR.PDSCHMCSDist.Bin3,CARR.PDSCHMCSDist.Bin4,CARR.PDSCHMCSDist.Bin5,CARR.PDSCHMCSDist.Bin6,L1M.RS-SINR.Bin34,L1M.RS-SINR.Bin46,L1M.RS-SINR.Bin58,L1M.RS-SINR.Bin70,L1M.RS-SINR.Bin82,L1M.RS-SINR.Bin94,L1M.RS-SINR.Bin127,DRB.BufferSize.Qos,DRB.MeanActiveUeDl,TB.TotNbrDl.1.UEID,TB.TotNbrDlInitial.UEID,TB.TotNbrDlInitial.Qpsk.UEID,TB.TotNbrDlInitial.16Qam.UEID,TB.TotNbrDlInitial.64Qam.UEID,TB.ErrTotalNbrDl.1.UEID,QosFlow.PdcpPduVolumeDL_Filter.UEID,RRU.PrbUsedDl.UEID,CARR.PDSCHMCSDist.Bin1.UEID,CARR.PDSCHMCSDist.Bin2.UEID,CARR.PDSCHMCSDist.Bin3.UEID,CARR.PDSCHMCSDist.Bin4.UEID,CARR.PDSCHMCSDist.Bin5.UEID,CARR.PDSCHMCSDist.Bin6.UEID,L1M.RS-SINR.Bin34.UEID,L1M.RS-SINR.Bin46.UEID,L1M.RS-SINR.Bin58.UEID,L1M.RS-SINR.Bin70.UEID,L1M.RS-SINR.Bin82.UEID,L1M.RS-SINR.Bin94.UEID,L1M.RS-SINR.Bin127.UEID,DRB.BufferSize.Qos.UEID,DRB.UEThpDl.UEID,DRB.UEThpDlPdcpBased.UEID
1760608076359,00003,111,6,139,139,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000
1760608076359,00010,111,6,139,139,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000
1760608076359,00014,111,6,139,139,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000
1760608076459,00012,111,6,139,139,1,3,0,36,9,36,0,0,5,27,3852,36,0,0,0,0,0,36,0,0,0,0,0,0,109131,1,36,9,36,0,0,27,3852,5.341398,36,0,0,0,0,0,36,0,0,0,0,0,0,109131,24436.452590,4290.000000
1760608076559,00002,111,6,139,139,1,2,0,88,31,88,0,0,3,57,4552,88,0,0,0,0,0,88,0,0,0,0,0,0,627437,3,34,10,34,0,0,24,1904,1.815699,34,0,0,0,0,0,34,0,0,0,0,0,0,146226,7841.182063,8800.000000
1760608076559,00009,111,6,139,139,1,2,0,88,31,88,0,0,3,57,4552,88,0,0,0,0,0,88,0,0,0,0,0,0,627437,3,31,10,31,0,0,21,1585,1.518584,31,0,0,0,0,0,31,0,0,0,0,0,0,244531,24538.264590,5340.000000
1760608076559,00006,111,6,139,139,1,2,0,88,31,88,0,0,3,57,4552,88,0,0,0,0,0,88,0,0,0,0,0,0,627437,3,23,11,23,0,0,12,1063,1.023394,23,0,0,0,0,0,23,0,0,0,0,0,0,236680,18601.851527,5240.000000
1760608076659,00003,111,6,139,139,1,2,0,65,25,65,0,0,3,40,5676,65,0,0,0,0,0,39,12,13,1,0,0,0,599283,2,26,13,26,0,0,13,2108,1.412174,26,0,0,0,0,0,0,12,13,1,0,0,0,327740,5653.482906,5240.000000
1760608076659,00013,111,6,139,139,1,2,0,65,25,65,0,0,3,40,5676,65,0,0,0,0,0,39,12,13,1,0,0,0,599283,2,39,12,39,0,0,27,3568,2.489885,39,0,0,0,0,0,39,0,0,0,0,0,0,271543,7526.768137,5240.000000
1760608076759,00009,111,6,139,139,1,1,0,46,12,46,0,0,2,34,4922,46,0,0,0,0,0,46,0,0,0,0,0,0,496588,1,46,12,46,0,0,34,4922,2.736181,46,0,0,0,0,0,46,0,0,0,0,0,0,496588,21356.393855,5240.000000
1760608076859,00006,111,6,139,139,1,1,0,46,12,46,0,0,2,34,4922,46,0,0,0,0,0,46,0,0,0,0,0,0,601388,1,46,12,46,0,0,34,4922,2.280721,46,0,0,0,0,0,46,0,0,0,0,0,0,601388,5801.452656,5340.000000
