DL/UL	time	frame	subF	slot	1stSym	symbol#	cellId	rnti	ccId	tbSize	mcs	rv	SINR(dB)	corrupt	TBler
DL	0.112982	11	2	3	1	12	2	1	0	107	0	0	7.95581	0	0
DL	0.112982	11	2	3	1	12	4	3	0	107	0	0	-17.7968	1	1
DL	0.112982	11	2	3	1	12	5	2	0	107	0	0	1.6587	0	0.048
DL	0.112982	11	2	3	1	12	6	5	0	107	0	0	-20.3335	1	1
DL	0.112982	11	2	3	1	12	8	5	0	107	0	0	-22.1322	1	1
DL	0.113232	11	3	0	1	12	2	1	0	107	0	0	7.87372	0	0
DL	0.113232	11	3	0	1	12	4	3	0	107	0	0	-17.815	1	1
DL	0.113232	11	3	0	1	12	5	2	0	107	0	0	1.65304	0	0.048
DL	0.113232	11	3	0	1	12	6	5	0	107	0	0	-20.3712	1	1
DL	0.113232	11	3	0	1	12	8	5	0	107	0	0	-22.2699	1	1
DL	0.113375	11	3	1	1	6	5	2	0	52	0	0	1.46904	1	0.791149
DL	0.113482	11	3	1	1	12	2	1	0	107	0	0	7.72847	0	0
DL	0.113482	11	3	1	1	12	4	3	0	107	0	0	-17.7929	1	1
DL	0.113482	11	3	1	1	12	6	5	0	107	0	0	-20.4396	1	1
DL	0.113482	11	3	1	1	12	8	5	0	107	0	0	-22.1028	1	1
DL	0.113482	11	3	1	7	6	5	6	0	52	0	0	-12.2862	1	1
DL	0.113732	11	3	2	1	12	2	1	0	274	4	0	17.7311	0	0
DL	0.113732	11	3	2	1	12	5	6	0	107	0	0	-21.8505	1	1
DL	0.113839	11	3	3	1	4	5	6	0	33	0	0	-24.6995	1	1
DL	0.113911	11	3	3	5	4	5	4	0	33	0	0	-1.55339	1	1
DL	0.113982	11	3	3	1	12	4	3	0	107	0	1	-17.5264	1	1
DL	0.113982	11	3	3	1	12	6	5	0	107	0	1	-20.3378	1	1
DL	0.113982	11	3	3	1	12	8	5	0	107	0	1	-21.9071	1	1
DL	0.113982	11	3	3	1	12	2	1	0	274	4	0	7.5658	0	0
DL	0.113982	11	3	3	9	4	5	5	0	33	0	0	-0.615549	0	0.522303
DL	0.114125	11	4	0	1	6	5	2	0	52	0	1	1.89986	0	0
DL	0.114143	11	4	0	1	7	2	1	0	158	4	0	7.65987	0	0
DL	0.114232	11	4	0	1	12	4	3	0	107	0	1	-17.1302	1	1
DL	0.114232	11	4	0	1	12	6	5	0	107	0	1	-18.0412	1	1
DL	0.114232	11	4	0	1	12	8	5	0	107	0	1	-21.7315	1	1
DL	0.114232	11	4	0	7	6	5	2	0	52	0	2	1.94586	0	0.0014
UL	0.114232	11	4	0	8	5	2	1	0	43	0	0	16.0011 	0	0
DL	0.114375	11	4	1	1	6	5	6	0	52	0	1	-24.395	1	1
DL	0.114393	11	4	1	1	7	2	1	0	643	15	0	7.43911	1	1
DL	0.114482	11	4	1	1	12	4	3	0	107	0	1	-17.0697	1	1
DL	0.114482	11	4	1	1	12	6	5	0	107	0	1	-17.9633	1	1
DL	0.114482	11	4	1	1	12	8	5	0	107	0	1	-21.6714	1	1
DL	0.114482	11	4	1	7	6	5	6	0	52	0	2	-19.166	1	1
UL	0.114482	11	4	1	8	5	2	1	0	43	0	0	15.9414 	0	0
DL	0.114625	11	4	2	1	6	6	4	0	52	0	0	-46.9895	1	1
DL	0.114643	11	4	2	1	7	2	1	0	158	4	0	7.63847	0	0
DL	0.114732	11	4	2	1	12	8	2	0	107	0	0	-10.8693	1	1
DL	0.114732	11	4	2	1	12	5	6	0	107	0	1	-20.6779	1	1
DL	0.114732	11	4	2	7	6	6	6	0	52	0	0	-3.68913	1	1
UL	0.114732	11	4	2	8	5	2	1	0	43	0	0	16.0233 	0	0
DL	0.114839	11	4	3	1	4	5	4	0	33	0	1	-29.9908	1	1
DL	0.114911	11	4	3	5	4	5	4	0	33	0	2	-30.0352	1	1
DL	0.114946	11	4	3	9	2	5	3	0	15	0	0	-12.7062	1	1
DL	0.114982	11	4	3	1	12	4	3	0	107	0	2	-17.0771	1	1
DL	0.114982	11	4	3	1	12	8	5	0	107	0	2	-21.1881	1	1
DL	0.114982	11	4	3	1	12	6	5	0	107	0	2	-20.2829	1	1
DL	0.114982	11	4	3	1	12	2	1	0	274	4	0	7.54452	0	0
UL	0.114982	11	4	3	11	2	5	2	0	15	0	0	14.3595 	0	0
DL	0.115125	11	5	0	1	6	5	6	0	52	0	3	-24.385	1	1
DL	0.115161	11	5	0	7	2	5	3	0	15	0	0	-12.6653	1	1
UL	0.115196	11	5	0	9	2	5	2	0	15	0	0	14.3421 	0	0
DL	0.115232	11	5	0	1	12	4	3	0	107	0	2	-16.7797	1	1
DL	0.115232	11	5	0	1	12	8	5	0	107	0	2	-20.8245	1	1
DL	0.115232	11	5	0	1	12	6	5	0	107	0	2	-20.2899	1	1
DL	0.115232	11	5	0	1	12	2	1	0	274	4	0	7.53848	0	0
UL	0.115232	11	5	0	11	2	5	5	0	15	0	0	0.262848 	0	0.271552
DL	0.115339	11	5	1	1	4	5	3	0	33	0	0	-33.5468	1	1
DL	0.115393	11	5	1	1	7	2	1	0	643	15	1	7.60811	0	0
UL	0.115411	11	5	1	5	4	5	2	0	33	0	0	14.278 	0	0
DL	0.115482	11	5	1	1	12	4	3	0	107	0	2	-15.2777	1	1
DL	0.115482	11	5	1	1	12	8	5	0	107	0	2	-19.4713	1	1
DL	0.115482	11	5	1	1	12	6	5	0	107	0	2	-17.8684	1	1
UL	0.115482	11	5	1	9	4	5	5	0	33	0	0	0.217384 	1	0.522303
DL	0.115625	11	5	2	1	6	6	6	0	52	0	1	-8.54611	1	1
DL	0.115643	11	5	2	1	7	2	1	0	643	15	2	7.83117	1	1
DL	0.115732	11	5	2	1	12	8	2	0	107	0	1	-11.0742	1	1
DL	0.115732	11	5	2	1	12	5	6	0	107	0	2	-20.8819	1	1
DL	0.115732	11	5	2	7	6	6	6	0	52	0	2	-7.24481	1	0.791149
DL	0.115839	11	5	3	1	4	5	4	0	33	0	3	-29.445	1	1
DL	0.115875	11	5	3	5	2	5	3	0	15	0	1	-12.5654	1	1
DL	0.115911	11	5	3	7	2	5	3	0	15	0	2	-12.5786	1	1
DL	0.115982	11	5	3	1	12	4	3	0	107	0	3	-16.9763	1	1
DL	0.115982	11	5	3	1	12	2	1	0	274	4	0	7.72714	0	0
DL	0.115982	11	5	3	1	12	8	5	0	107	0	3	-20.6412	1	1
DL	0.115982	11	5	3	1	12	6	5	0	107	0	3	-20.2914	1	1
DL	0.116054	11	6	0	1	2	5	3	0	15	0	1	-33.2426	1	1
DL	0.116089	11	6	0	3	2	5	3	0	15	0	2	-33.2541	1	1
DL	0.116161	11	6	0	5	4	5	3	0	33	0	1	-33.267	1	1
DL	0.116232	11	6	0	1	12	4	3	0	107	0	3	-17.8659	1	1
DL	0.116232	11	6	0	1	12	2	1	0	274	4	0	7.68771	0	0
DL	0.116232	11	6	0	1	12	8	5	0	107	0	3	-21.3884	1	1
DL	0.116232	11	6	0	1	12	6	5	0	107	0	3	-20.3538	1	1
DL	0.116232	11	6	0	9	4	5	3	0	33	0	2	-33.3104	1	1
DL	0.116482	11	6	1	1	12	4	3	0	107	0	3	-16.0786	1	1
DL	0.116482	11	6	1	1	12	2	1	0	274	4	0	7.65479	0	0
DL	0.116482	11	6	1	1	12	8	5	0	107	0	3	-19.1918	1	1
DL	0.116482	11	6	1	1	12	6	5	0	107	0	3	-20.069	1	1
DL	0.116625	11	6	2	1	6	6	6	0	52	0	3	-8.58783	1	0.791149
DL	0.116732	11	6	2	1	12	5	6	0	107	0	3	-23.7557	1	1
DL	0.116732	11	6	2	1	12	2	1	0	274	4	1	8.39647	0	0
DL	0.116732	11	6	2	1	12	8	2	0	107	0	2	-14.934	1	1
DL	0.116804	11	6	3	1	2	5	3	0	15	0	3	-32.1395	1	1
DL	0.116839	11	6	3	3	2	5	3	0	15	0	3	-32.1637	1	1
DL	0.116875	11	6	3	1	6	8	3	0	52	0	0	-24.5891	1	1
DL	0.116982	11	6	3	1	12	2	1	0	274	4	0	9.26995	0	0
DL	0.116982	11	6	3	7	6	8	4	0	52	0	0	-3.03115	1	1
DL	0.117089	11	7	0	1	4	5	3	0	33	0	3	-32.2654	1	1
DL	0.117125	11	7	0	1	6	8	3	0	52	0	0	-24.6158	1	1
DL	0.117232	11	7	0	1	12	2	1	0	274	4	0	9.20586	0	0
DL	0.117232	11	7	0	7	6	8	4	0	52	0	0	-2.93412	1	1
DL	0.117375	11	7	1	1	6	8	3	0	52	0	0	-24.0364	1	1
DL	0.117482	11	7	1	1	12	2	1	0	274	4	0	9.07519	0	0
DL	0.117482	11	7	1	7	6	8	4	0	52	0	0	-2.95726	1	1
DL	0.117732	11	7	2	1	12	2	1	0	274	4	0	9.14442	0	0
DL	0.117732	11	7	2	1	12	8	2	0	107	0	3	-15.0424	1	1
DL	0.117875	11	7	3	1	6	8	3	0	52	0	1	-24.0099	1	1
DL	0.117982	11	7	3	1	12	2	1	0	274	4	0	9.08298	0	0
DL	0.117982	11	7	3	7	6	8	3	0	52	0	2	-24.0828	1	1
DL	0.118125	11	8	0	1	6	8	3	0	52	0	1	-23.9941	1	1
DL	0.118232	11	8	0	1	12	2	1	0	274	4	0	9.24258	0	0
DL	0.118232	11	8	0	7	6	8	3	0	52	0	2	-24.0322	1	1
DL	0.118375	11	8	1	1	6	8	4	0	52	0	1	-5.15708	0	0.791149
DL	0.118482	11	8	1	1	12	2	1	0	274	4	0	9.42359	0	0
DL	0.118482	11	8	1	7	6	8	4	0	52	0	2	-5.19216	1	1
DL	0.118625	11	8	2	1	6	8	3	0	52	0	3	-24.1011	1	1
DL	0.118732	11	8	2	1	12	2	1	0	274	4	0	15.5417	0	0
DL	0.118875	11	8	3	1	6	8	3	0	52	0	3	-24.1422	1	1
DL	0.118982	11	8	3	1	12	2	1	0	274	4	0	15.4796	0	0
DL	0.119232	11	9	0	1	12	2	1	0	403	6	0	17.83	0	0
UL	0.119357	11	9	1	1	5	8	4	0	43	0	0	-9.46032 	1	1
DL	0.119482	11	9	1	1	12	2	1	0	884	13	0	17.6338	0	0
DL	0.119732	11	9	2	1	12	2	1	0	884	13	0	17.622	0	0
DL	0.119982	11	9	3	1	12	2	1	0	1272	18	0	17.7443	0	0.00099975
UL	0.120107	12	0	0	1	5	8	4	0	43	0	1	-9.3646 	1	1
DL	0.120232	12	0	0	1	12	2	1	0	1272	18	0	17.7572	0	0.00099975
DL	0.120482	12	0	1	1	12	2	1	0	1272	18	0	17.8535	0	0.00099975
DL	0.120732	12	0	2	1	12	2	1	0	1272	18	0	17.8038	0	0.00099975
UL	0.120857	12	0	3	1	5	8	4	0	43	0	2	-9.48793 	1	1
DL	0.120982	12	0	3	1	12	2	1	0	1272	18	0	17.7176	0	0.00099975
DL	0.121232	12	1	0	1	12	2	1	0	1272	18	0	17.8558	0	0.00099975
DL	0.121482	12	1	1	1	12	2	1	0	1272	18	0	17.7982	0	0.00099975
UL	0.121607	12	1	2	1	5	8	4	0	43	0	3	-9.51386 	1	1
DL	0.121625	12	1	2	1	6	2	1	0	634	18	0	17.9448	0	0.0005
DL	0.122982	12	2	3	1	12	2	1	0	1272	18	0	18.1866	0	0.00099975
DL	0.123036	12	3	0	1	1	2	1	0	103	18	0	18.3072	0	0.0008
DL	0.123482	12	3	1	1	12	2	1	0	1272	18	0	18.3321	0	0.00099975
DL	0.123536	12	3	2	1	1	2	1	0	103	18	0	18.3881	0	0.0001
DL	0.123982	12	3	3	1	12	2	1	0	1272	18	0	18.3322	0	0.00099975
DL	0.124036	12	4	0	1	1	2	1	0	103	18	0	18.4234	0	0.0001
DL	0.124482	12	4	1	1	12	2	1	0	1272	18	0	18.5582	0	0
DL	0.124536	12	4	2	1	1	2	1	0	103	18	0	18.5104	0	0.0001
DL	0.124982	12	4	3	1	12	2	1	0	1272	18	0	18.5641	0	0
DL	0.125036	12	5	0	1	1	2	1	0	103	18	0	18.5713	0	0.0001
UL	0.125054	12	5	0	2	1	2	1	0	103	18	0	16.9919 	0	0.0001
DL	0.125482	12	5	1	1	12	2	1	0	1272	18	0	18.5227	0	0
DL	0.125536	12	5	2	1	1	2	1	0	103	18	0	18.5126	0	0.0001
UL	0.125554	12	5	2	2	1	2	1	0	103	18	0	16.9635 	0	0.0001
DL	0.126482	12	6	1	1	12	2	1	0	1272	18	0	18.2793	0	0
DL	0.126536	12	6	2	1	1	2	1	0	103	18	0	18.322	0	0.0001
DL	0.127482	12	7	1	1	12	2	1	0	1272	18	0	18.1997	0	0.00099975
DL	0.127536	12	7	2	1	1	2	1	0	103	18	0	18.145	0	0.0008
DL	0.127982	12	7	3	1	12	2	1	0	1272	18	0	18.1754	0	0.00099975
DL	0.128036	12	8	0	1	1	2	1	0	103	18	0	18.2026	0	0.0001
DL	0.128982	12	8	3	1	12	2	1	0	1272	18	0	18.0212	0	0.00099975
DL	0.129036	12	9	0	1	1	2	1	0	103	18	0	17.7908	0	0.0008
DL	0.129482	12	9	1	1	12	2	1	0	1272	18	0	17.7728	0	0.00099975
DL	0.129536	12	9	2	1	1	2	1	0	103	18	0	17.7434	0	0.0008
DL	0.130482	13	0	1	1	12	2	1	0	1272	18	0	17.4707	0	0.00099975
DL	0.130536	13	0	2	1	1	2	1	0	103	18	0	17.365	0	0.0054
DL	0.131482	13	1	1	1	12	2	1	0	1272	18	0	17.4924	0	0.00099975
DL	0.131536	13	1	2	1	1	2	1	0	103	18	0	17.3731	0	0.0054
DL	0.132982	13	2	3	1	12	2	1	0	1272	18	0	17.0681	0	0.00099975
DL	0.133036	13	3	0	1	1	2	1	0	103	18	0	17.015	0	0.0054
DL	0.133482	13	3	1	1	12	2	1	0	1272	18	0	17.0085	0	0.00099975
