timestamp,ueId,nrCellId
1760608164469,1,8
1760608164469,2,5
1760608164469,3,8
1760608164469,5,6
1760608164469,6,5
1760608164469,7,5
1760608164469,8,6
1760608164469,9,5
1760608164469,10,8
1760608164469,11,6
1760608164469,12,8
1760608164469,13,5
1760608164469,14,4
1760608164569,1,6
1760608164569,4,4
1760608164569,5,7
1760608164569,8,5
1760608164569,9,5
1760608164569,10,4
1760608164569,11,4
1760608164569,13,8
1760608164569,14,6
1760608164669,1,8
1760608164669,2,6
1760608164669,3,4
1760608164669,4,4
1760608164669,5,5
1760608164669,6,5
1760608164669,7,3
1760608164669,8,3
1760608164669,9,3
1760608164669,10,7
1760608164669,11,5
1760608164669,12,6
1760608164669,13,3
1760608164669,14,4
1760608164769,1,6
1760608164769,2,5
1760608164769,3,7
1760608164769,4,7
1760608164769,6,4
1760608164769,7,8
1760608164769,8,5
1760608164769,9,6
1760608164769,10,8
1760608164769,11,5
1760608164769,12,8
1760608164769,13,4
1760608164769,14,5
1760608164869,1,8
1760608164869,2,6
1760608164869,3,4
1760608164869,4,5
1760608164869,6,6
1760608164869,7,5
1760608164869,8,8
1760608164869,9,6
1760608164869,10,5
1760608164869,12,7
1760608164869,14,3
1760608164969,1,3
1760608164969,3,4
1760608164969,4,5
1760608164969,5,4
1760608164969,6,4
1760608164969,7,7
1760608164969,8,3
1760608164969,9,3
1760608164969,10,8
1760608164969,11,6
1760608164969,12,5
1760608164969,13,8
1760608164969,14,8
