timestamp,ueImsiComplete,numActiveUes,RRC.ConnMean,DRB.EstabSucc.5QI.UEID (numDrb),DRB.RelActNbr.5QI.UEID (0),L3 serving Id(m_cellId),UE (imsi),L3 serving SINR,L3 serving SINR 3gpp,L3 neigh Id 1 (cellId),L3 neigh SINR 1,L3 neigh SINR 3gpp 1 (convertedSinr),L3 neigh Id 2 (cellId),L3 neigh SINR 2,L3 neigh SINR 3gpp 2 (convertedSinr),L3 neigh Id 3 (cellId),L3 neigh SINR 3,L3 neigh SINR 3gpp 3 (convertedSinr),L3 neigh Id 4 (cellId),L3 neigh SINR 4,L3 neigh SINR 3gpp 4 (convertedSinr),L3 neigh Id 5 (cellId),L3 neigh SINR 5,L3 neigh SINR 3gpp 5 (convertedSinr),L3 neigh Id 6 (cellId),L3 neigh SINR 6,L3 neigh SINR 3gpp 6 (convertedSinr),L3 neigh Id 7 (cellId),L3 neigh SINR 7,L3 neigh SINR 3gpp 7 (convertedSinr),L3 neigh Id 8 (cellId),L3 neigh SINR 8,L3 neigh SINR 3gpp 8 (convertedSinr)
1760608164469,00009,1,0,0,0,8,9,27.173939,101.000000,2,3.987299,54.000000,7,3.690459,54.000000,3,3.227027,53.000000,4,-5.053246,36.000000,5,-5.902389,34.000000,6,-6.250458,34.000000,,,,,,
1760608164569,00001,4,4,0,0,8,1,-9.547438,27.000000,3,25.167343,97.000000,2,6.120352,59.000000,4,0.931533,48.000000,7,-10.496914,25.000000,5,-14.224197,18.000000,6,-21.932720,2.000000,,,,,,
1760608164569,00003,4,4,0,0,8,3,-18.573477,9.000000,6,14.473995,76.000000,3,8.607594,64.000000,2,7.965655,62.000000,4,7.511268,62.000000,5,-0.855160,45.000000,7,-3.078381,40.000000,,,,,,
1760608164569,00012,4,4,0,0,8,12,-9.572409,27.000000,3,9.423747,65.000000,4,9.229206,65.000000,2,-3.843925,39.000000,5,-6.611753,33.000000,7,-14.955511,16.000000,6,-17.357485,11.000000,,,,,,
1760608164569,00010,4,4,0,0,8,10,-2.665244,41.000000,6,18.853475,84.000000,5,14.678923,76.000000,2,6.393919,59.000000,7,0.723393,48.000000,4,-9.745861,27.000000,3,-18.663600,9.000000,,,,,,
1760608164669,00003,3,3,0,0,8,3,-15.736646,15.000000,6,12.576115,72.000000,2,8.891411,64.000000,4,8.386547,63.000000,3,7.370044,61.000000,5,-2.216968,42.000000,7,-5.652875,35.000000,,,,,,
1760608164669,00012,3,3,0,0,8,12,0.728007,48.000000,3,17.634824,82.000000,4,6.956428,60.000000,2,-2.176074,42.000000,7,-12.725523,21.000000,6,-13.906239,18.000000,5,-14.948240,16.000000,,,,,,
1760608164669,00013,3,3,0,0,8,13,6.730248,60.000000,2,8.140726,63.000000,3,4.835713,56.000000,4,-0.016641,46.000000,5,-9.417411,27.000000,7,-11.294983,24.000000,6,-11.399186,23.000000,,,,,,
1760608164769,00001,1,1,0,0,8,1,-13.766499,19.000000,3,23.412168,94.000000,2,7.099950,61.000000,4,2.471751,51.000000,7,-11.829846,23.000000,5,-14.454916,17.000000,6,-23.929698,0.000000,,,,,,
1760608164869,00007,3,3,0,0,8,7,-19.923073,6.000000,5,9.807291,66.000000,6,9.309249,65.000000,7,4.863898,56.000000,2,-4.167413,38.000000,4,-6.836693,33.000000,3,-11.447874,23.000000,,,,,,
1760608164869,00010,3,3,0,0,8,10,3.176728,53.000000,5,17.379801,81.000000,6,13.607016,74.000000,2,8.995765,64.000000,7,3.430314,53.000000,4,-4.137017,38.000000,3,-10.187167,26.000000,,,,,,
1760608164869,00012,3,3,0,0,8,12,1.950146,50.000000,3,12.393562,71.000000,4,4.361013,55.000000,2,-1.816411,43.000000,5,-12.400776,21.000000,6,-16.289100,14.000000,7,-20.454031,5.000000,,,,,,
1760608164969,00001,2,2,0,0,8,1,-14.705448,17.000000,3,22.627775,92.000000,2,4.156927,55.000000,4,4.032334,54.000000,7,-0.635363,45.000000,5,-17.343804,11.000000,6,-25.416779,0.000000,,,,,,
1760608164969,00008,2,2,0,0,8,8,-0.941419,44.000000,2,14.564207,76.000000,4,5.115794,57.000000,3,4.333969,55.000000,5,-0.948412,44.000000,6,-16.918992,12.000000,7,-28.654058,0.000000,,,,,,
