timestamp,ueImsiComplete,DRB.PdcpSduDelayDl(cellAverageLatency),m_pDCPBytesUL(0),m_pDCPBytesDL(cellDlTxVolume),DRB.PdcpSduVolumeDl_Filter.UEID(txBytes),Tot.PdcpSduNbrDl.UEID(txDlPackets),DRB.PdcpSduBitRateDl.UEID(pdcpThroughput),DRB.PdcpSduDelayDl.UEID(pdcpLatency),txPdcpPduLteRlc,txPdcpPduBytesLteRlc,QosFlow.PdcpPduVolumeDL_Filter.UEID(txPdcpPduBytesNrRlc),DRB.PdcpPduNbrDl.Qos.UEID(txPdcpPduNrRlc)
1760608164469,00004,0.000000,0,0,0,0,0.000000,0.000000,0,0,0.000000,0
1760608164469,00006,0.000000,0,0,0,0,0.000000,0.000000,0,0,0.000000,0
1760608164469,00013,0.000000,0,0,0,0,0.000000,0.000000,0,0,0.000000,0
1760608164469,00002,0.000000,0,0,0,0,0.000000,0.000000,0,0,0.000000,0
1760608164469,00012,0.000000,0,0,0,0,0.000000,0.000000,0,0,0.000000,0
1760608164469,00009,0.000000,0,0,0,0,0.000000,0.000000,0,0,0.000000,0
1760608164469,00005,0.000000,0,0,0,0,0.000000,0.000000,0,0,0.000000,0
1760608164469,00003,0.000000,0,0,0,0,0.000000,0.000000,0,0,0.000000,0
1760608164469,00007,0.000000,0,0,0,0,0.000000,0.000000,0,0,0.000000,0
1760608164469,00014,0.000000,0,0,0,0,0.000000,0.000000,0,0,0.000000,0
1760608164469,00010,0.000000,0,0,0,0,0.000000,0.000000,0,0,0.000000,0
1760608164469,00011,0.000000,0,0,0,0,0.000000,0.000000,0,0,0.000000,0
1760608164469,00008,0.000000,0,0,0,0,0.000000,0.000000,0,0,0.000000,0
1760608164469,00001,0.000000,0,0,0,0,0.000000,0.000000,0,0,0.000000,0
1760608164569,00004,262.607795,0,26264,1876,179,18760.000000,91.546645,86,901,975.000000,93
1760608164569,00006,262.607795,0,26264,1876,179,18760.000000,293.045251,87,912,964.000000,92
1760608164569,00013,262.607795,0,26264,1876,179,18760.000000,316.191873,95,996,880.000000,84
1760608164569,00002,262.607795,0,26264,1876,179,18760.000000,280.779003,86,901,975.000000,93
1760608164569,00012,262.607795,0,26264,1876,179,18760.000000,247.064462,95,996,880.000000,84
1760608164569,00009,262.607795,0,26264,1876,179,18760.000000,278.151740,91,954,922.000000,88
1760608164569,00005,262.607795,0,26264,1876,179,18760.000000,252.270521,87,912,964.000000,92
1760608164569,00003,262.607795,0,26264,1876,179,18760.000000,278.571191,91,954,922.000000,88
1760608164569,00007,262.607795,0,26264,1876,179,18760.000000,216.578243,90,943,933.000000,89
1760608164569,00014,262.607795,0,26264,1876,179,18760.000000,267.638438,85,891,985.000000,94
1760608164569,00010,262.607795,0,26264,1876,179,18760.000000,266.751405,90,943,933.000000,89
1760608164569,00011,262.607795,0,26264,1876,179,18760.000000,282.438280,95,996,880.000000,84
1760608164569,00008,262.607795,0,26264,1876,179,18760.000000,285.261377,83,870,1006.000000,96
1760608164569,00001,262.607795,0,26264,1876,179,18760.000000,320.220698,85,891,985.000000,94
1760608164669,00004,732.957036,0,29344,2096,200,20960.000000,675.386774,82,859,1237.000000,118
1760608164669,00006,732.957036,0,29344,2096,200,20960.000000,738.534140,110,1153,943.000000,90
1760608164669,00013,732.957036,0,29344,2096,200,20960.000000,895.067815,112,1174,922.000000,88
1760608164669,00002,732.957036,0,29344,2096,200,20960.000000,703.339409,96,1006,1090.000000,104
1760608164669,00012,732.957036,0,29344,2096,200,20960.000000,772.996379,96,1006,1090.000000,104
1760608164669,00009,732.957036,0,29344,2096,200,20960.000000,693.333113,100,1048,1048.000000,100
1760608164669,00005,732.957036,0,29344,2096,200,20960.000000,666.744940,99,1038,1058.000000,101
1760608164669,00003,732.957036,0,29344,2096,200,20960.000000,732.266540,114,1195,901.000000,86
1760608164669,00007,732.957036,0,29344,2096,200,20960.000000,689.023340,101,1058,1038.000000,99
1760608164669,00014,732.957036,0,29344,2096,200,20960.000000,798.634294,114,1195,901.000000,86
1760608164669,00010,732.957036,0,29344,2096,200,20960.000000,724.290940,100,1048,1048.000000,100
1760608164669,00011,732.957036,0,29344,2096,200,20960.000000,747.880140,101,1058,1038.000000,99
1760608164669,00008,732.957036,0,29344,2096,200,20960.000000,691.812540,93,975,1121.000000,107
1760608164669,00001,732.957036,0,29344,2096,200,20960.000000,732.088140,95,996,1100.000000,105
1760608164769,00004,1208.225216,0,29344,2096,200,20960.000000,1173.555740,98,1027,1069.000000,102
1760608164769,00006,1208.225216,0,29344,2096,200,20960.000000,1216.934140,94,985,1111.000000,106
1760608164769,00013,1208.225216,0,29344,2096,200,20960.000000,1313.969308,99,1038,1058.000000,101
1760608164769,00002,1208.225216,0,29344,2096,200,20960.000000,1191.577340,83,870,1226.000000,117
1760608164769,00012,1208.225216,0,29344,2096,200,20960.000000,1261.623726,108,1132,964.000000,92
1760608164769,00009,1208.225216,0,29344,2096,200,20960.000000,1555.110147,98,1027,1069.000000,102
1760608164769,00005,1208.225216,0,29344,2096,200,20960.000000,875.944367,101,1058,1038.000000,99
1760608164769,00003,1208.225216,0,29344,2096,200,20960.000000,1295.585750,113,1184,912.000000,87
1760608164769,00007,1208.225216,0,29344,2096,200,20960.000000,1191.323340,108,1132,964.000000,92
1760608164769,00014,1208.225216,0,29344,2096,200,20960.000000,871.712730,99,1038,1058.000000,101
1760608164769,00010,1208.225216,0,29344,2096,200,20960.000000,1217.890940,94,985,1111.000000,106
1760608164769,00011,1208.225216,0,29344,2096,200,20960.000000,1280.880140,103,1079,1017.000000,97
1760608164769,00008,1208.225216,0,29344,2096,200,20960.000000,1383.157212,99,1038,1058.000000,101
1760608164769,00001,1208.225216,0,29344,2096,200,20960.000000,1085.888140,105,1100,996.000000,95
1760608164869,00004,1721.672523,0,29344,2096,200,20960.000000,1631.353252,105,1100,996.000000,95
1760608164869,00006,1721.672523,0,29344,2096,200,20960.000000,2403.751723,95,996,1100.000000,105
1760608164869,00013,1721.672523,0,29344,2096,200,20960.000000,1887.677242,102,1069,1027.000000,98
1760608164869,00002,1721.672523,0,29344,2096,200,20960.000000,1640.577340,101,1058,1038.000000,99
1760608164869,00012,1721.672523,0,29344,2096,200,20960.000000,2255.884332,93,975,1121.000000,107
1760608164869,00009,1721.672523,0,29344,2096,200,20960.000000,1708.301740,107,1121,975.000000,93
1760608164869,00005,1721.672523,0,29344,2096,200,20960.000000,678.273406,114,1195,901.000000,86
1760608164869,00003,1721.672523,0,29344,2096,200,20960.000000,1870.664626,106,1111,985.000000,94
