timestamp,ueImsiComplete,plmId,nrCellId,dlAvailablePrbs,ulAvailablePrbs,qci,dlPrbUsage,ulPrbUsage,TB.TotNbrDl.1,TB.TotNbrDlInitial,TB.TotNbrDlInitial.Qpsk,TB.TotNbrDlInitial.16Qam,TB.TotNbrDlInitial.64Qam,RRU.PrbUsedDl,TB.ErrTotalNbrDl.1,QosFlow.PdcpPduVolumeDL_Filter,CARR.PDSCHMCSDist.Bin1,CARR.PDSCHMCSDist.Bin2,CARR.PDSCHMCSDist.Bin3,CARR.PDSCHMCSDist.Bin4,CARR.PDSCHMCSDist.Bin5,CARR.PDSCHMCSDist.Bin6,L1M.RS-SINR.Bin34,L1M.RS-SINR.Bin46,L1M.RS-SINR.Bin58,L1M.RS-SINR.Bin70,L1M.RS-SINR.Bin82,L1M.RS-SINR.Bin94,L1M.RS-SINR.Bin127,DRB.BufferSize.Qos,DRB.MeanActiveUeDl,TB.TotNbrDl.1.UEID,TB.TotNbrDlInitial.UEID,TB.TotNbrDlInitial.Qpsk.UEID,TB.TotNbrDlInitial.16Qam.UEID,TB.TotNbrDlInitial.64Qam.UEID,TB.ErrTotalNbrDl.1.UEID,QosFlow.PdcpPduVolumeDL_Filter.UEID,RRU.PrbUsedDl.UEID,CARR.PDSCHMCSDist.Bin1.UEID,CARR.PDSCHMCSDist.Bin2.UEID,CARR.PDSCHMCSDist.Bin3.UEID,CARR.PDSCHMCSDist.Bin4.UEID,CARR.PDSCHMCSDist.Bin5.UEID,CARR.PDSCHMCSDist.Bin6.UEID,L1M.RS-SINR.Bin34.UEID,L1M.RS-SINR.Bin46.UEID,L1M.RS-SINR.Bin58.UEID,L1M.RS-SINR.Bin70.UEID,L1M.RS-SINR.Bin82.UEID,L1M.RS-SINR.Bin94.UEID,L1M.RS-SINR.Bin127.UEID,DRB.BufferSize.Qos.UEID,DRB.UEThpDl.UEID,DRB.UEThpDlPdcpBased.UEID
1760608164469,00008,111,4,139,139,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000
1760608164469,00012,111,4,139,139,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000
1760608164569,00014,111,4,139,139,1,3,0,37,10,37,0,0,5,27,3959,37,0,0,0,0,0,37,0,0,0,0,0,0,121928,1,37,10,37,0,0,27,3959,5.489771,37,0,0,0,0,0,37,0,0,0,0,0,0,121928,25125.341708,4500.000000
1760608164669,00004,111,4,139,139,1,2,0,88,31,88,0,0,3,57,4552,88,0,0,0,0,0,86,2,0,0,0,0,0,636607,3,34,10,34,0,0,24,1904,1.815699,34,0,0,0,0,0,34,0,0,0,0,0,0,155396,8517.169637,6070.000000
1760608164669,00010,111,4,139,139,1,2,0,88,31,88,0,0,3,57,4552,88,0,0,0,0,0,86,2,0,0,0,0,0,636607,3,31,10,31,0,0,21,1585,1.518584,31,0,0,0,0,0,29,2,0,0,0,0,0,244531,25125.341708,5240.000000
1760608164669,00011,111,4,139,139,1,2,0,88,31,88,0,0,3,57,4552,88,0,0,0,0,0,86,2,0,0,0,0,0,636607,3,23,11,23,0,0,12,1063,1.023394,23,0,0,0,0,0,23,0,0,0,0,0,0,236680,23444.373268,5240.000000
1760608164769,00004,111,4,139,139,1,12,0,229,133,229,0,0,18,96,47235,170,59,0,0,0,0,74,32,42,81,0,0,0,784650,3,36,9,36,0,0,27,3192,8.935714,36,0,0,0,0,0,36,0,0,0,0,0,0,288272,9850.834007,5240.000000
1760608164769,00003,111,4,139,139,1,12,0,229,133,229,0,0,18,96,47235,170,59,0,0,0,0,74,32,42,81,0,0,0,784650,3,148,112,148,0,0,36,41931,9.303003,89,59,0,0,0,0,0,25,42,81,0,0,0,309543,10402.824950,5550.000000
1760608164769,00014,111,4,139,139,1,12,0,229,133,229,0,0,18,96,47235,170,59,0,0,0,0,74,32,42,81,0,0,0,784650,3,45,12,45,0,0,33,2112,1.523661,45,0,0,0,0,0,38,7,0,0,0,0,0,186835,8733.059595,8060.000000
1760608164869,00006,111,4,139,139,1,9,0,320,270,310,10,0,13,50,99003,112,198,10,0,0,0,20,38,81,181,0,0,0,784561,2,228,198,218,10,0,30,93573,10.686970,20,198,10,0,0,0,0,30,17,181,0,0,0,432967,10232.050998,11520.000000
1760608164869,00013,111,4,139,139,1,9,0,320,270,310,10,0,13,50,99003,112,198,10,0,0,0,20,38,81,181,0,0,0,784561,2,92,72,92,0,0,20,5430,3.088118,92,0,0,0,0,0,20,8,64,0,0,0,0,351594,5289.207150,5650.000000
1760608164969,00013,111,4,139,139,1,5,0,71,36,71,0,0,8,35,9295,69,2,0,0,0,0,14,34,14,9,0,0,0,1035658,2,29,12,29,0,0,17,2752,7.694643,29,0,0,0,0,0,14,12,3,0,0,0,0,468522,5785.745823,5440.000000
1760608164969,00003,111,4,139,139,1,5,0,71,36,71,0,0,8,35,9295,69,2,0,0,0,0,14,34,14,9,0,0,0,1035658,2,42,24,42,0,0,18,6543,1.851020,40,2,0,0,0,0,0,22,11,9,0,0,0,567136,10851.860333,5440.000000
